price_date,sell_percentage,buy_percentage,yield_value
2024-01-04 00:00:00,99,100,6.87
2024-01-05 00:00:00,98.7,99.6,6.91
2024-01-08 00:00:00,98.4,99.55,6.91
2024-01-09 00:00:00,98.5,99.6,6.91
2024-01-10 00:00:00,98.6,99.55,6.91
2024-01-11 00:00:00,98.8,99.95,6.88
2024-01-12 00:00:00,98.7,99.9,6.88
2024-01-15 00:00:00,98.95,99.9,6.88
2024-01-16 00:00:00,98.5,99.7,6.9
2024-01-17 00:00:00,98.7,99.7,6.9
2024-01-18 00:00:00,98.7,99.9,6.88
2024-01-19 00:00:00,99.15,99.8,6.89
2024-01-22 00:00:00,98.8,100,6.87
2024-01-23 00:00:00,99.2,99.9,6.88
2024-01-24 00:00:00,98.9,100,6.87
2024-01-25 00:00:00,98.8,99.9,6.88
2024-01-26 00:00:00,98.8,99.8,6.89
2024-01-29 00:00:00,98.7,99.9,6.88
2024-01-30 00:00:00,98.8,99.95,6.88
2024-01-31 00:00:00,98.9,100.1,6.87
2024-02-01 00:00:00,99.4,100.3,6.85
2024-02-02 00:00:00,99.7,100.6,6.83
2024-02-05 00:00:00,99.2,100.3,6.85
2024-02-06 00:00:00,99.1,99.85,6.89
2024-02-07 00:00:00,98.85,99.75,6.89
2024-02-12 00:00:00,98.65,99.55,6.91
2024-02-13 00:00:00,98.75,99.6,6.91
2024-02-15 00:00:00,98.8,99.6,6.91
2024-02-16 00:00:00,98.6,99.7,6.9
2024-02-19 00:00:00,99,99.85,6.89
2024-02-20 00:00:00,99.1,100,6.87
2024-02-21 00:00:00,99.4,100.3,6.85
2024-02-22 00:00:00,99.4,100.4,6.84
2024-02-23 00:00:00,99.5,100.5,6.83
2024-02-26 00:00:00,99.4,100.3,6.85
2024-02-27 00:00:00,99.3,100.3,6.85
2024-02-28 00:00:00,99.45,100.45,6.84
2024-02-29 00:00:00,99.45,100.45,6.84
2024-03-01 00:00:00,99.3,100.3,6.85
2024-03-04 00:00:00,99.2,100.4,6.84
2024-03-05 00:00:00,99.2,100.5,6.83
2024-03-06 00:00:00,99.15,100.4,6.84
2024-03-07 00:00:00,98.9,100.1,6.87
2024-03-08 00:00:00,99,100.2,6.86
2024-03-13 00:00:00,98.9,100,6.87
2024-03-14 00:00:00,99,100,6.87
2024-03-15 00:00:00,98.7,99.7,6.9
2024-03-18 00:00:00,98.65,99.75,6.89
2024-03-19 00:00:00,98.7,99.7,6.9
2024-03-20 00:00:00,99.05,100.05,6.87
2024-03-21 00:00:00,99.25,100.15,6.86
2024-03-22 00:00:00,99.2,100.1,6.87
2024-03-25 00:00:00,99,99.9,6.88
2024-03-26 00:00:00,98.55,99.65,6.9
2024-03-27 00:00:00,98.75,99.65,6.9
2024-03-28 00:00:00,98.5,99.6,6.91
2024-04-01 00:00:00,98.95,99.8,6.89
2024-04-02 00:00:00,98.75,99.75,6.89
2024-04-03 00:00:00,98.85,99.85,6.89
2024-04-04 00:00:00,98.9,99.9,6.88
2024-04-05 00:00:00,99.15,100.05,6.87
2024-04-16 00:00:00,97.95,98.85,6.97
2024-04-17 00:00:00,97.75,98.75,6.97
2024-04-18 00:00:00,97.75,98.75,6.97
2024-04-19 00:00:00,97.65,98.75,6.97
2024-04-22 00:00:00,97.35,98.85,6.97
2024-04-23 00:00:00,97.4,98.7,6.98
2024-04-24 00:00:00,97.6,99.1,6.95
2024-04-25 00:00:00,97.35,98.85,6.97
2024-04-26 00:00:00,96.95,98.45,7
2024-04-29 00:00:00,96.3,98.1,7.03
2024-04-30 00:00:00,95.05,96.85,7.13
2024-05-02 00:00:00,97.25,99.05,6.95
2024-05-03 00:00:00,98.15,99.65,6.9
2024-05-06 00:00:00,98.2,100,6.87
2024-05-07 00:00:00,98.8,99.8,6.89
2024-05-08 00:00:00,98.65,99.75,6.89
2024-05-13 00:00:00,98.65,99.65,6.9
2024-05-14 00:00:00,98.4,99.6,6.91
2024-05-15 00:00:00,98.3,99.6,6.91
2024-05-16 00:00:00,99,100.2,6.86
2024-05-17 00:00:00,98.9,100.2,6.86
2024-05-20 00:00:00,98.85,99.95,6.88
2024-05-21 00:00:00,98,99.5,6.91
2024-05-22 00:00:00,98.55,99.85,6.89
