price_date,sell_percentage,buy_percentage,yield_value
2018-12-05 00:00:00,98.2,99.45,4.46
2018-12-06 00:00:00,98.15,99.5,4.45
2018-12-07 00:00:00,98.1,99.45,4.46
2018-12-10 00:00:00,97.85,99.2,4.51
2018-12-11 00:00:00,98.05,99.5,4.45
2018-12-12 00:00:00,98.25,99.7,4.41
2018-12-13 00:00:00,98.5,99.95,4.36
2018-12-14 00:00:00,98.5,99.95,4.36
2018-12-17 00:00:00,98.5,99.95,4.36
2018-12-18 00:00:00,98.75,100.2,4.31
2018-12-19 00:00:00,98.75,100.2,4.31
2018-12-20 00:00:00,99,100.45,4.26
2018-12-21 00:00:00,99,100.45,4.26
2018-12-26 00:00:00,98.85,100.5,4.25
2018-12-27 00:00:00,98.85,100.5,4.25
2018-12-28 00:00:00,98.85,100.5,4.25
2018-12-31 00:00:00,98.75,100.4,4.27
2019-01-02 00:00:00,98.75,100.4,4.27
2019-01-03 00:00:00,98.95,100.3,4.29
2019-01-04 00:00:00,99.35,100.7,4.21
2019-01-07 00:00:00,99.35,100.7,4.21
2019-01-08 00:00:00,99.35,100.7,4.21
2019-01-09 00:00:00,99.85,101.2,4.11
2019-01-10 00:00:00,99.85,101.2,4.11
2019-01-11 00:00:00,99.85,101.2,4.11
2019-01-14 00:00:00,99.85,101.2,4.11
2019-01-15 00:00:00,99.85,101.2,4.11
2019-01-16 00:00:00,99.85,101.2,4.11
2019-01-17 00:00:00,100.1,101.35,4.08
2019-01-18 00:00:00,100.25,101.5,4.05
2019-01-21 00:00:00,100.45,101.7,4.01
2019-01-22 00:00:00,100.45,101.7,4.01
2019-01-23 00:00:00,100.7,101.95,3.96
2019-01-24 00:00:00,100.7,101.95,3.96
2019-01-25 00:00:00,100.95,102.2,3.91
2019-01-28 00:00:00,101.1,102.35,3.88
2019-01-29 00:00:00,100.85,102.1,3.93
2019-01-30 00:00:00,100.7,101.95,3.96
2019-01-31 00:00:00,101.2,102.45,3.86
2019-02-01 00:00:00,101.45,102.7,3.81
2019-02-04 00:00:00,101.2,102.45,3.86
2019-02-06 00:00:00,101.35,102.6,3.83
2019-02-07 00:00:00,101.25,102.5,3.85
2019-02-08 00:00:00,101.25,102.5,3.85
2019-02-11 00:00:00,101.2,102.45,3.86
2019-02-12 00:00:00,100.95,102.2,3.91
2019-02-13 00:00:00,101.2,102.45,3.86
2019-02-14 00:00:00,101.65,102.9,3.77
2019-02-15 00:00:00,101.45,102.7,3.81
2019-02-18 00:00:00,101.45,102.7,3.8
2019-02-19 00:00:00,101.45,102.7,3.8
2019-02-20 00:00:00,101.45,102.7,3.81
2019-02-21 00:00:00,101.35,102.6,3.82
2019-02-22 00:00:00,101.2,102.45,3.85
2019-02-25 00:00:00,100.95,102.2,3.9
2019-02-26 00:00:00,101.2,102.45,3.85
2019-02-27 00:00:00,101.45,102.7,3.8
2019-02-28 00:00:00,101.2,102.45,3.85
2019-03-01 00:00:00,101.2,102.45,3.85
2019-03-04 00:00:00,101.2,102.45,3.85
2019-03-05 00:00:00,101.2,102.45,3.85
2019-03-06 00:00:00,101.2,102.45,3.85
2019-03-08 00:00:00,101.45,102.7,3.8
2019-03-11 00:00:00,101.45,102.7,3.8
2019-03-12 00:00:00,101.55,102.8,3.78
2019-03-13 00:00:00,101.85,103.1,3.72
2019-03-14 00:00:00,101.95,103.2,3.7
2019-03-15 00:00:00,101.95,103.2,3.7
2019-03-18 00:00:00,102.2,103.45,3.65
2019-03-19 00:00:00,102.2,103.45,3.65
2019-03-20 00:00:00,102.3,103.45,3.65
2019-03-21 00:00:00,102.7,103.85,3.57
2019-03-22 00:00:00,102.95,104.1,3.52
2019-03-25 00:00:00,103.05,104.2,3.5
2019-03-26 00:00:00,102.95,104.1,3.52
2019-03-27 00:00:00,102.95,104.1,3.52
2019-03-28 00:00:00,103.05,104.2,3.5
2019-03-29 00:00:00,102.95,104.1,3.52
2019-04-01 00:00:00,102.95,104.1,3.51
2019-04-02 00:00:00,102.85,104,3.53
2019-04-04 00:00:00,102.7,103.85,3.56
2019-04-05 00:00:00,102.8,103.95,3.54
2019-04-08 00:00:00,102.85,104,3.53
2019-04-09 00:00:00,102.85,104,3.53
2019-04-10 00:00:00,102.8,103.95,3.54
2019-04-11 00:00:00,103.1,104.25,3.48
2019-04-12 00:00:00,102.85,104.1,3.51
2019-04-15 00:00:00,102.85,104.1,3.51
2019-04-16 00:00:00,102.7,103.95,3.54
2019-04-18 00:00:00,103.15,104.4,3.45
2019-04-22 00:00:00,103.15,104.4,3.45
2019-04-23 00:00:00,103.1,104.35,3.46
2019-04-24 00:00:00,103.1,104.35,3.45
2019-04-25 00:00:00,103.2,104.45,3.43
2019-04-26 00:00:00,102.95,104.2,3.48
2019-04-29 00:00:00,103.2,104.45,3.43
2019-04-30 00:00:00,103.2,104.45,3.43
2019-05-02 00:00:00,103.2,104.45,3.43
2019-05-03 00:00:00,103.1,104.35,3.45
2019-05-06 00:00:00,103.2,104.45,3.43
2019-05-07 00:00:00,103.2,104.45,3.43
2019-05-08 00:00:00,103.2,104.45,3.43
2019-05-09 00:00:00,103.1,104.35,3.45
2019-05-10 00:00:00,103.1,104.35,3.45
2019-05-13 00:00:00,103.1,104.35,3.45
2019-05-14 00:00:00,102.95,104.2,3.48
2019-05-15 00:00:00,103.2,104.45,3.43
2019-05-16 00:00:00,103.2,104.45,3.42
2019-05-17 00:00:00,103.2,103.86,3.54
2019-05-20 00:00:00,103.2,104.45,3.42
2019-05-21 00:00:00,103.2,104.45,3.42
2019-05-22 00:00:00,103.2,104.45,3.42
2019-05-23 00:00:00,103.2,104.45,3.42
2019-05-24 00:00:00,103.2,104.45,3.42
2019-05-27 00:00:00,103.2,104.45,3.42
2019-05-28 00:00:00,103.2,104.45,3.42
2019-05-29 00:00:00,103.2,104.45,3.42
2019-05-31 00:00:00,103.45,104.7,3.36
2019-06-10 00:00:00,104.2,105.45,3.21
2019-06-11 00:00:00,104.45,105.7,3.16
2019-06-12 00:00:00,104.35,105.35,3.23
2019-06-13 00:00:00,104.7,105.7,3.16
2019-06-14 00:00:00,104.7,105.7,3.16
2019-06-17 00:00:00,104.7,105.7,3.16
2019-06-18 00:00:00,104.7,105.7,3.16
2019-06-19 00:00:00,105.1,106.1,3.08
2019-06-20 00:00:00,105.6,106.6,2.97
2019-06-21 00:00:00,105.1,106.35,3.02
2019-06-24 00:00:00,104.95,106.2,3.05
2019-06-25 00:00:00,104.95,106.2,3.05
2019-06-26 00:00:00,104.65,105.9,3.11
2019-06-27 00:00:00,104.95,106.2,3.05
2019-06-28 00:00:00,104.95,106.2,3.05
2019-07-01 00:00:00,104.95,106.2,3.05
2019-07-02 00:00:00,105.1,106.35,3.01
2019-07-03 00:00:00,105.4,106.65,2.95
2019-07-04 00:00:00,105.15,106.4,3
2019-07-05 00:00:00,105.5,106.75,2.93
2019-07-08 00:00:00,105.25,106.5,2.98
2019-07-09 00:00:00,105.25,106.5,2.98
2019-07-10 00:00:00,105.1,106.35,3.01
2019-07-11 00:00:00,105.4,106.65,2.95
2019-07-12 00:00:00,105.55,106.8,2.92
2019-07-15 00:00:00,105.55,106.8,2.92
2019-07-16 00:00:00,105.55,106.8,2.92
2019-07-17 00:00:00,105.65,106.9,2.89
2019-07-18 00:00:00,105.55,106.8,2.91
2019-07-19 00:00:00,105.5,106.75,2.92
2019-07-22 00:00:00,105.55,106.8,2.91
2019-07-23 00:00:00,105.55,106.8,2.91
2019-07-24 00:00:00,105.8,107.05,2.86
2019-07-25 00:00:00,105.8,107.05,2.86
2019-07-26 00:00:00,105.9,107.15,2.84
2019-07-29 00:00:00,105.9,107.15,2.83
2019-07-30 00:00:00,105.9,107.15,2.84
2019-07-31 00:00:00,105.65,106.9,2.88
2019-08-01 00:00:00,105.65,106.9,2.88
2019-08-02 00:00:00,105.8,107.05,2.85
2019-08-05 00:00:00,105.65,106.9,2.88
2019-08-06 00:00:00,105.65,106.9,2.88
2019-08-07 00:00:00,106,106.8,2.9
2019-08-08 00:00:00,106.8,107.4,2.78
2019-08-09 00:00:00,106.7,107.3,2.8
2019-08-13 00:00:00,106.7,107.3,2.79
2019-08-14 00:00:00,106.8,107.4,2.77
2019-08-15 00:00:00,107.2,107.8,2.69
2019-08-16 00:00:00,107.2,107.8,2.69
2019-08-19 00:00:00,107.3,107.9,2.67
2019-08-20 00:00:00,107.3,107.9,2.67
2019-08-21 00:00:00,107.2,107.8,2.69
2019-08-22 00:00:00,107.3,107.9,2.66
2019-08-23 00:00:00,107.1,107.8,2.68
2019-08-26 00:00:00,107,107.7,2.7
2019-08-27 00:00:00,107.1,107.8,2.68
2019-08-28 00:00:00,107.3,108,2.64
2019-08-29 00:00:00,107.6,108.3,2.58
2019-08-30 00:00:00,107.7,108.4,2.55
2019-09-02 00:00:00,107.7,108.4,2.55
2019-09-03 00:00:00,108.2,108.9,2.45
2019-09-04 00:00:00,108.1,108.8,2.47
2019-09-05 00:00:00,108.2,108.9,2.45
2019-09-06 00:00:00,108.1,108.8,2.47
2019-09-09 00:00:00,108.2,108.9,2.45
2019-09-10 00:00:00,107.85,108.55,2.52
2019-09-11 00:00:00,107.45,108.2,2.59
2019-09-12 00:00:00,107.8,108.55,2.51
2019-09-13 00:00:00,107.8,108.55,2.51
2019-09-16 00:00:00,107.15,107.9,2.65
2019-09-17 00:00:00,107.35,107.9,2.64
2019-09-18 00:00:00,108.1,108.65,2.49
2019-09-19 00:00:00,108,108.55,2.51
2019-09-20 00:00:00,107.85,108.4,2.54
2019-09-23 00:00:00,107.85,108.4,2.54
2019-09-24 00:00:00,108.1,108.65,2.48
2019-09-25 00:00:00,108.1,108.65,2.48
2019-09-26 00:00:00,107.75,108.3,2.55
2019-09-27 00:00:00,107.75,108.3,2.55
2019-09-30 00:00:00,107.6,108.15,2.58
2019-10-01 00:00:00,107.5,108.05,2.6
2019-10-02 00:00:00,107.6,108.15,2.58
2019-10-03 00:00:00,107.35,107.9,2.63
2019-10-04 00:00:00,107.75,108.3,2.54
2019-10-07 00:00:00,107.75,108.3,2.54
2019-10-08 00:00:00,107.6,108.15,2.57
2019-10-09 00:00:00,107.75,108.3,2.54
2019-10-10 00:00:00,107.75,108.3,2.54
2019-10-11 00:00:00,107.6,108.15,2.57
2019-10-14 00:00:00,107.6,108.15,2.57
2019-10-15 00:00:00,107.6,108.15,2.57
2019-10-16 00:00:00,107.5,108.05,2.59
2019-10-17 00:00:00,107.6,108.15,2.56
2019-10-18 00:00:00,107.75,108.3,2.53
2019-10-21 00:00:00,107.5,108.05,2.58
2019-10-22 00:00:00,107.35,107.9,2.61
2019-10-23 00:00:00,107.35,107.9,2.61
2019-10-24 00:00:00,107.5,108.05,2.58
2019-10-25 00:00:00,107.35,107.9,2.61
2019-10-28 00:00:00,107.5,108.05,2.57
2019-10-29 00:00:00,107,107.7,2.65
2019-10-30 00:00:00,107.2,107.9,2.61
2019-10-31 00:00:00,107.6,108.3,2.52
2019-11-01 00:00:00,107.6,108.3,2.52
2019-11-04 00:00:00,107.6,108.3,2.52
2019-11-05 00:00:00,107.45,108.15,2.55
2019-11-06 00:00:00,107.4,108.1,2.56
2019-11-07 00:00:00,107.55,108.25,2.52
2019-11-08 00:00:00,107.2,107.9,2.6
2019-11-11 00:00:00,107.35,108.05,2.56
2019-11-12 00:00:00,107.35,108.05,2.56
2019-11-13 00:00:00,107.35,108.05,2.56
2019-11-14 00:00:00,107.35,108.05,2.56
2019-11-15 00:00:00,107.45,108.15,2.54
2019-11-18 00:00:00,107.45,108.15,2.54
2019-11-19 00:00:00,107.45,108.15,2.54
2019-11-20 00:00:00,107.45,108.15,2.54
2019-11-21 00:00:00,107.6,108.3,2.5
2019-11-22 00:00:00,107.6,108.3,2.5
2019-11-25 00:00:00,107.45,108.15,2.53
2019-11-26 00:00:00,107.7,108.4,2.47
2019-11-27 00:00:00,107.6,108.3,2.49
2019-11-28 00:00:00,107.6,108.3,2.49
2019-11-29 00:00:00,107.6,108.3,2.49
2019-12-02 00:00:00,107.6,108.3,2.49
2019-12-03 00:00:00,107.45,108.15,2.52
2019-12-04 00:00:00,107.7,108.4,2.47
2019-12-05 00:00:00,107.7,108.4,2.47
2019-12-06 00:00:00,107.7,108.4,2.46
2019-12-09 00:00:00,107.7,108.4,2.46
2019-12-10 00:00:00,107.7,108.4,2.46
2019-12-11 00:00:00,107.7,108.4,2.46
2019-12-12 00:00:00,107.85,108.55,2.43
2019-12-13 00:00:00,107.7,108.4,2.46
2019-12-16 00:00:00,107.7,108.4,2.46
2019-12-17 00:00:00,107.95,108.65,2.4
2019-12-18 00:00:00,107.95,108.65,2.4
2019-12-19 00:00:00,107.95,108.65,2.4
2019-12-20 00:00:00,107.9,108.6,2.41
2019-12-23 00:00:00,107.85,108.55,2.41
2019-12-26 00:00:00,107.8,108.5,2.42
2019-12-27 00:00:00,108.2,108.9,2.33
2019-12-30 00:00:00,108.2,108.9,2.33
2020-01-02 00:00:00,108.15,108.85,2.34
2020-01-03 00:00:00,108.05,108.75,2.36
2020-01-06 00:00:00,108.1,108.8,2.35
2020-01-07 00:00:00,108.1,108.8,2.35
2020-01-08 00:00:00,108.2,108.9,2.32
2020-01-09 00:00:00,108.1,108.8,2.34
2020-01-10 00:00:00,108.1,108.8,2.34
2020-01-13 00:00:00,108.1,108.8,2.34
