price_date,sell_percentage,buy_percentage,yield_value
2020-06-17 00:00:00,99.85,100.95,2.1
2020-06-18 00:00:00,99.75,100.75,2.14
2020-06-19 00:00:00,99.75,100.75,2.14
2020-06-22 00:00:00,100,100.7,2.15
2020-06-23 00:00:00,99.95,100.65,2.16
2020-06-24 00:00:00,100,100.75,2.14
2020-06-25 00:00:00,100,100.75,2.14
2020-06-26 00:00:00,100,100.8,2.13
2020-06-29 00:00:00,99.75,100.85,2.12
2020-06-30 00:00:00,99.9,100.85,2.12
2020-07-01 00:00:00,99.9,100.8,2.13
2020-07-02 00:00:00,99.9,100.8,2.13
2020-07-03 00:00:00,99.95,100.9,2.11
2020-07-06 00:00:00,99.95,101.5,1.98
2020-07-07 00:00:00,100.15,101.15,2.05
2020-07-08 00:00:00,100.15,101.15,2.05
2020-07-09 00:00:00,100.15,101.15,2.05
2020-07-10 00:00:00,100.35,101.25,2.03
2020-07-13 00:00:00,100.35,101.2,2.04
2020-07-14 00:00:00,100.35,101.25,2.03
2020-07-15 00:00:00,100.4,101.3,2.02
2020-07-16 00:00:00,100.6,101.65,1.95
2020-07-17 00:00:00,100.75,101.9,1.89
2020-07-20 00:00:00,100.75,102.15,1.84
2020-07-21 00:00:00,101.5,102.55,1.76
2020-07-22 00:00:00,102,103.15,1.63
2020-07-23 00:00:00,101.9,103.15,1.63
2020-07-24 00:00:00,101.9,102.9,1.68
2020-07-27 00:00:00,101.75,102.9,1.68
2020-07-28 00:00:00,102.1,103.05,1.65
2020-07-29 00:00:00,102,103.15,1.63
2020-07-30 00:00:00,102.25,103.4,1.57
2020-08-03 00:00:00,102.5,103.4,1.57
2020-08-04 00:00:00,102.5,103.4,1.57
2020-08-05 00:00:00,102.65,103.65,1.52
2020-08-06 00:00:00,103.1,104,1.45
2020-08-07 00:00:00,103,104.4,1.36
2020-08-10 00:00:00,103,104.4,1.36
2020-08-11 00:00:00,103.25,104.65,1.31
2020-08-12 00:00:00,103.25,104.6,1.32
2020-08-13 00:00:00,103.25,104.65,1.31
2020-08-14 00:00:00,103.25,104.65,1.3
2020-08-18 00:00:00,103.15,104.4,1.36
2020-08-19 00:00:00,102.9,104.35,1.37
2020-08-24 00:00:00,103.4,104.6,1.31
2020-08-25 00:00:00,103.55,104.85,1.26
2020-08-26 00:00:00,103.15,104.85,1.26
2020-08-27 00:00:00,103.15,104.85,1.26
2020-08-28 00:00:00,103.05,104.6,1.31
2020-08-31 00:00:00,103.4,104.6,1.31
2020-09-01 00:00:00,103.4,104.85,1.26
