price_date,sell_percentage,buy_percentage,yield_value
2017-07-20 00:00:00,100.15,101.9,3.62
2017-07-21 00:00:00,100.25,102,3.61
2017-07-24 00:00:00,100.45,102.2,3.59
2017-07-25 00:00:00,100.15,101.9,3.62
2017-07-26 00:00:00,99.75,101.5,3.67
2017-07-27 00:00:00,100.65,102.4,3.56
2017-07-28 00:00:00,100.55,102.3,3.57
2017-07-31 00:00:00,100.65,102.4,3.56
2017-08-01 00:00:00,100.75,102.5,3.55
2017-08-02 00:00:00,101.25,103,3.49
2017-08-03 00:00:00,101.25,103,3.49
2017-08-04 00:00:00,101.65,103.4,3.44
2017-08-07 00:00:00,101.15,102.9,3.5
2017-08-08 00:00:00,101.15,102.9,3.5
2017-08-09 00:00:00,101.15,102.9,3.5
2017-08-10 00:00:00,101.05,102.8,3.51
2017-08-11 00:00:00,101,102.75,3.52
2017-08-14 00:00:00,101,102.75,3.52
2017-08-15 00:00:00,101.25,103,3.49
2017-08-16 00:00:00,101,102.75,3.52
2017-08-18 00:00:00,101.4,103.15,3.47
2017-08-21 00:00:00,101.5,103.25,3.46
2017-08-22 00:00:00,101.25,103,3.49
2017-08-23 00:00:00,101.25,103,3.49
2017-08-24 00:00:00,101.25,103,3.49
2017-08-25 00:00:00,101.5,103.25,3.46
2017-08-28 00:00:00,101.65,103.4,3.44
2017-08-29 00:00:00,101.9,103.65,3.41
2017-08-30 00:00:00,101.85,103.6,3.42
2017-08-31 00:00:00,101.85,103.6,3.42
2017-09-04 00:00:00,102.25,104,3.37
2017-09-05 00:00:00,102.4,104.15,3.35
2017-09-07 00:00:00,102.9,104.65,3.29
2017-09-08 00:00:00,103.5,105.25,3.22
2017-09-11 00:00:00,103.25,105,3.25
2017-09-12 00:00:00,103,104.75,3.28
2017-09-13 00:00:00,103,104.75,3.28
2017-09-14 00:00:00,103,104.75,3.28
2017-09-15 00:00:00,103,104.75,3.28
2017-09-18 00:00:00,102.9,104.65,3.29
2017-09-19 00:00:00,103,104.75,3.28
2017-09-20 00:00:00,102.95,104.7,3.29
2017-09-22 00:00:00,102.5,104.25,3.34
2017-09-25 00:00:00,102.75,104.5,3.31
2017-09-26 00:00:00,103.1,104.85,3.27
2017-09-27 00:00:00,102.5,104.25,3.34
2017-09-28 00:00:00,102.15,103.65,3.41
2017-09-29 00:00:00,102.25,104,3.37
2017-10-02 00:00:00,102.15,103.9,3.38
2017-10-03 00:00:00,102,103.75,3.4
2017-10-04 00:00:00,102.2,103.95,3.37
2017-10-05 00:00:00,102.05,103.8,3.39
2017-10-06 00:00:00,102.05,103.8,3.39
2017-10-09 00:00:00,102.15,103.9,3.38
2017-10-10 00:00:00,102.15,103.9,3.38
2017-10-11 00:00:00,102.4,104.15,3.35
2017-10-12 00:00:00,102.5,104.25,3.34
2017-10-13 00:00:00,102.55,104.3,3.33
2017-10-16 00:00:00,102.75,104.5,3.31
2017-10-17 00:00:00,102.5,104.25,3.34
2017-10-18 00:00:00,102.25,104,3.36
2017-10-19 00:00:00,102.15,103.9,3.38
2017-10-20 00:00:00,102.2,103.95,3.37
2017-10-23 00:00:00,101.75,103.5,3.42
2017-10-24 00:00:00,102,103.75,3.99
2017-10-25 00:00:00,101.9,103.65,3.41
2017-10-26 00:00:00,101.75,103.5,3.42
2017-10-27 00:00:00,101.75,103.5,3.42
2017-10-30 00:00:00,102,103.75,3.39
2017-10-31 00:00:00,102.4,104.15,3.35
2017-11-01 00:00:00,102.15,103.9,3.37
2017-11-02 00:00:00,102.25,104,3.36
2017-11-03 00:00:00,102.25,104,3.36
