price_date,sell_percentage,buy_percentage,yield_value
2021-04-15 00:00:00,100,100.75,5.29
2021-04-16 00:00:00,100,100.6,5.34
2021-04-19 00:00:00,100,100.6,5.34
2021-04-20 00:00:00,100.3,100.9,5.23
2021-04-21 00:00:00,100.3,100.9,5.23
2021-04-22 00:00:00,100.3,100.9,5.22
2021-04-23 00:00:00,100.3,100.9,5.22
2021-04-26 00:00:00,100.3,100.9,5.22
2021-04-27 00:00:00,100.4,101,5.19
2021-04-28 00:00:00,100.3,100.9,5.22
2021-04-29 00:00:00,100.35,100.95,5.2
2021-04-30 00:00:00,100.35,100.95,5.2
2021-05-03 00:00:00,100.5,101,5.18
2021-05-04 00:00:00,100.5,101,5.18
2021-05-05 00:00:00,100.6,101.1,5.14
2021-05-06 00:00:00,100.6,101.1,5.14
2021-05-07 00:00:00,100.75,101.25,5.08
2021-05-10 00:00:00,100.3,101.05,5.16
2021-05-11 00:00:00,100.45,101.2,5.1
2021-05-20 00:00:00,100.85,101.35,5.04
2021-05-21 00:00:00,100.85,101.35,5.04
2021-05-24 00:00:00,100.85,101.35,5.04
2021-05-25 00:00:00,100.85,101.35,5.04
2021-05-27 00:00:00,100.85,101.4,5.02
2021-05-28 00:00:00,100.85,101.4,5.02
2021-05-31 00:00:00,101.2,101.7,4.9
2021-06-02 00:00:00,101.25,101.75,4.88
2021-06-03 00:00:00,101.25,101.75,4.87
2021-06-04 00:00:00,101.25,101.75,4.87
2021-06-07 00:00:00,101.25,101.75,4.87
2021-06-08 00:00:00,101.65,102.15,4.71
2021-06-09 00:00:00,101.65,102.15,4.71
2021-06-10 00:00:00,102,102.5,4.57
2021-06-11 00:00:00,102,102.5,4.57
2021-06-14 00:00:00,101.9,102.4,4.61
2021-06-15 00:00:00,101.9,102.4,4.61
2021-06-16 00:00:00,101.8,102.3,4.65
2021-06-17 00:00:00,101.8,102.3,4.65
2021-06-18 00:00:00,101.9,102.3,4.64
2021-06-21 00:00:00,101.75,102.25,4.66
2021-06-22 00:00:00,101.65,102.15,4.7
2021-06-23 00:00:00,101.65,102.15,4.7
2021-06-24 00:00:00,101.7,102.2,4.68
2021-06-25 00:00:00,101.7,102.2,4.68
2021-06-28 00:00:00,101.7,102.2,4.68
2021-06-29 00:00:00,101.7,102.2,4.68
2021-06-30 00:00:00,101.6,102.1,4.72
2021-07-01 00:00:00,101.65,102.15,4.69
2021-07-02 00:00:00,101.5,102,4.75
2021-07-05 00:00:00,101.55,102.05,4.73
2021-07-06 00:00:00,101.5,102,4.75
2021-07-07 00:00:00,101.5,102,4.75
2021-07-08 00:00:00,101.75,102.25,4.65
2021-07-09 00:00:00,101.8,102.3,4.63
2021-07-12 00:00:00,101.8,102.2,4.67
2021-07-13 00:00:00,101.7,102.2,4.67
2021-07-14 00:00:00,101.9,102.5,4.54
2021-07-15 00:00:00,101.9,102.5,4.54
2021-07-16 00:00:00,101.8,102.2,4.66
2021-07-19 00:00:00,102.2,102.6,4.5
2021-07-21 00:00:00,102.15,102.55,4.51
2021-07-22 00:00:00,102.1,102.5,4.53
2021-07-23 00:00:00,102.2,102.6,4.49
2021-07-26 00:00:00,102.1,102.6,4.49
2021-07-27 00:00:00,102.2,102.7,4.45
2021-07-28 00:00:00,102.2,102.7,4.45
2021-07-29 00:00:00,102.45,102.85,4.38
2021-07-30 00:00:00,102.53,102.93,4.35
2021-08-02 00:00:00,102.2,102.7,4.44
2021-08-03 00:00:00,102.5,103,4.32
2021-08-04 00:00:00,102.75,103.1,4.27
2021-08-05 00:00:00,102.75,103.1,4.27
2021-08-06 00:00:00,102.7,103.05,4.29
2021-08-09 00:00:00,102.6,103,4.31
2021-08-12 00:00:00,102.45,102.85,4.36
2021-08-13 00:00:00,102.45,102.85,4.36
2021-08-16 00:00:00,102.6,103,4.3
2021-08-18 00:00:00,102.55,103,4.3
2021-08-19 00:00:00,102.45,102.95,4.31
2021-08-20 00:00:00,102.25,102.75,4.4
2021-08-23 00:00:00,102.25,102.65,4.44
2021-08-24 00:00:00,102.25,102.65,4.44
2021-08-25 00:00:00,102.3,102.7,4.41
2021-08-26 00:00:00,102.25,102.65,4.43
2021-08-27 00:00:00,102.3,102.7,4.41
2021-08-30 00:00:00,102.4,102.9,4.32
2021-08-31 00:00:00,102.4,102.9,4.32
2021-09-01 00:00:00,102.5,103,4.28
2021-09-02 00:00:00,102.35,102.85,4.34
2021-09-03 00:00:00,102.1,102.6,4.44
2021-09-06 00:00:00,102.2,102.7,4.4
2021-09-07 00:00:00,102.4,102.9,4.31
2021-09-08 00:00:00,102.25,102.75,4.38
2021-09-09 00:00:00,102.25,102.75,4.37
2021-09-10 00:00:00,102.25,102.75,4.37
2021-09-13 00:00:00,102.25,102.75,4.37
2021-09-14 00:00:00,102.35,102.75,4.37
2021-09-15 00:00:00,102.3,102.7,4.39
2021-09-16 00:00:00,102.25,102.65,4.41
2021-09-17 00:00:00,102.25,102.65,4.4
2021-09-20 00:00:00,102.25,102.75,4.36
2021-09-21 00:00:00,102.25,102.75,4.36
2021-09-22 00:00:00,102.2,102.6,4.42
2021-09-23 00:00:00,102.3,102.7,4.38
2021-09-24 00:00:00,102.25,102.75,4.35
2021-09-27 00:00:00,102.25,102.65,4.39
2021-09-28 00:00:00,102.35,102.75,4.35
2021-09-29 00:00:00,102.35,102.75,4.35
2021-09-30 00:00:00,102.3,102.7,4.37
2021-10-01 00:00:00,102.35,102.75,4.34
2021-10-04 00:00:00,102.25,102.75,4.34
2021-10-05 00:00:00,102.25,102.75,4.34
2021-10-06 00:00:00,102.25,102.75,4.34
2021-10-07 00:00:00,102.35,102.75,4.33
2021-10-08 00:00:00,102.25,102.65,4.38
2021-10-11 00:00:00,102.35,102.75,4.33
2021-10-12 00:00:00,102.15,102.55,4.42
2021-10-13 00:00:00,102.2,102.6,4.4
2021-10-14 00:00:00,102.15,102.55,4.41
2021-10-15 00:00:00,102.15,102.55,4.41
2021-10-18 00:00:00,102.35,102.75,4.32
2021-10-21 00:00:00,102.35,102.75,4.32
2021-10-22 00:00:00,102.35,102.9,4.24
2021-10-25 00:00:00,102.45,102.85,4.27
2021-10-26 00:00:00,102.35,102.75,4.31
2021-10-27 00:00:00,102.35,102.75,4.31
2021-10-28 00:00:00,102.5,102.9,4.24
2021-10-29 00:00:00,102.5,102.9,4.24
2021-11-01 00:00:00,102.5,102.9,4.24
2021-11-02 00:00:00,102.5,102.9,4.23
2021-11-03 00:00:00,102.5,102.9,4.23
2021-11-04 00:00:00,102.4,102.9,4.23
2021-11-05 00:00:00,102.4,102.9,4.23
2021-11-08 00:00:00,102.45,102.85,4.25
2021-11-09 00:00:00,102.45,102.85,4.25
2021-11-10 00:00:00,102.5,102.9,4.22
2021-11-11 00:00:00,102.4,102.8,4.26
2021-11-12 00:00:00,102.5,102.9,4.22
2021-11-15 00:00:00,102.4,102.9,4.21
2021-11-16 00:00:00,102.4,102.9,4.21
2021-11-17 00:00:00,102.4,102.9,4.21
2021-11-18 00:00:00,102.4,102.9,4.21
2021-11-19 00:00:00,102.5,103,4.16
2021-11-22 00:00:00,102.5,102.9,4.2
2021-11-23 00:00:00,102.75,103.15,4.09
2021-11-24 00:00:00,102.65,103.15,4.08
2021-11-25 00:00:00,102.65,103.15,4.08
2021-11-26 00:00:00,102.65,103.15,4.08
2021-11-29 00:00:00,102.6,103.1,4.1
2021-11-30 00:00:00,102.65,103.15,4.07
2021-12-01 00:00:00,102.85,103.35,3.98
2021-12-02 00:00:00,102.65,103.15,4.07
2021-12-03 00:00:00,102.65,103.15,4.06
2021-12-06 00:00:00,102.55,103.05,4.11
2021-12-07 00:00:00,102.5,103,4.13
2021-12-08 00:00:00,102.6,103.1,4.08
2021-12-09 00:00:00,102.55,103.05,4.1
2021-12-10 00:00:00,102.55,103.05,4.1
