price_date,sell_percentage,buy_percentage,yield_value
2023-12-19 00:00:00,98.1,99.4,6.33
2023-12-20 00:00:00,98.1,99.4,6.33
2023-12-21 00:00:00,98.1,99.4,6.33
2023-12-22 00:00:00,98.5,99.6,6.26
2023-12-22 00:00:00,98.5,99.6,6.26
2023-12-28 00:00:00,99.1,100.2,6.02
2023-12-29 00:00:00,99.4,100.5,5.9
2024-01-02 00:00:00,99.5,100.65,5.84
2024-01-03 00:00:00,99.5,100.65,5.85
2024-01-04 00:00:00,99.6,100.75,5.81
2024-01-05 00:00:00,99.6,100.75,5.81
2024-01-08 00:00:00,99.6,100.75,5.81
2024-01-09 00:00:00,99.6,100.75,5.8
2024-01-10 00:00:00,99.6,100.75,5.8
2024-01-11 00:00:00,99.6,100.75,5.8
2024-01-12 00:00:00,99.6,100.75,5.8
2024-01-15 00:00:00,99.6,100.75,5.8
2024-01-16 00:00:00,99.6,100.75,5.8
2024-01-17 00:00:00,99.6,100.75,5.8
2024-01-18 00:00:00,99.6,100.75,5.8
2024-01-19 00:00:00,99.6,100.75,5.8
2024-01-22 00:00:00,99.6,100.75,5.8
2024-01-23 00:00:00,99.7,100.85,5.76
2024-01-24 00:00:00,99.7,100.85,5.76
2024-01-25 00:00:00,99.7,100.85,5.76
2024-01-26 00:00:00,99.7,100.85,5.76
2024-01-29 00:00:00,99.7,100.85,5.76
2024-01-30 00:00:00,99.6,100.75,5.79
2024-01-31 00:00:00,99.6,100.75,5.8
2024-02-01 00:00:00,99.6,100.75,5.8
2024-02-02 00:00:00,99.6,100.75,5.8
2024-02-05 00:00:00,99.6,100.75,5.8
2024-02-06 00:00:00,99.6,100.75,5.8
2024-02-07 00:00:00,99.6,100.75,5.8
2024-02-12 00:00:00,99.6,100.75,5.8
2024-02-13 00:00:00,99.6,100.75,5.8
2024-02-15 00:00:00,99.6,100.75,5.79
2024-02-16 00:00:00,99.6,100.75,5.79
2024-02-19 00:00:00,99.6,100.75,5.79
2024-02-20 00:00:00,99.6,100.75,5.79
2024-02-21 00:00:00,99.6,100.75,5.79
2024-02-22 00:00:00,99.6,100.75,5.79
2024-02-23 00:00:00,99.6,100.75,5.79
2024-02-26 00:00:00,99.6,100.75,5.79
2024-02-27 00:00:00,99.6,100.75,5.79
2024-02-28 00:00:00,99.6,100.75,5.79
2024-02-29 00:00:00,99.6,100.75,5.79
2024-03-01 00:00:00,99.75,100.75,5.79
2024-03-04 00:00:00,99.75,100.75,5.79
2024-03-05 00:00:00,99.65,100.75,5.79
2024-03-06 00:00:00,98.95,100.45,5.91
2024-03-07 00:00:00,99.7,100.7,5.81
2024-03-08 00:00:00,99.7,100.7,5.81
2024-03-13 00:00:00,99.65,100.75,5.79
2024-03-14 00:00:00,99.65,100.75,5.79
2024-03-15 00:00:00,99.75,100.85,5.74
2024-03-18 00:00:00,99.5,100.6,5.85
2024-03-19 00:00:00,99.75,100.85,5.74
2024-03-20 00:00:00,99.85,100.85,5.74
2024-03-21 00:00:00,99.85,100.85,5.74
2024-03-22 00:00:00,99.85,100.85,5.74
2024-03-25 00:00:00,99.85,100.85,5.74
2024-03-26 00:00:00,99.6,100.6,5.85
2024-03-27 00:00:00,99.1,100.1,6.06
2024-03-28 00:00:00,99.25,100.25,5.99
2024-04-01 00:00:00,99.1,100.1,6.06
2024-04-02 00:00:00,99.1,100.1,6.06
2024-04-03 00:00:00,99.1,100.1,6.06
2024-04-04 00:00:00,99.1,100.1,6.06
2024-04-05 00:00:00,99.45,100.45,5.91
2024-04-16 00:00:00,98.75,99.85,6.17
2024-04-17 00:00:00,98.2,99.4,6.36
2024-04-18 00:00:00,98,99.2,6.45
2024-04-19 00:00:00,97.45,98.95,6.56
2024-04-22 00:00:00,97.55,99.05,6.52
2024-04-23 00:00:00,97.65,99.15,6.47
2024-04-24 00:00:00,97.65,99.15,6.47
2024-04-25 00:00:00,97.4,98.9,6.59
2024-04-26 00:00:00,97.65,99.15,6.47
2024-04-29 00:00:00,97.25,98.75,6.65
2024-04-30 00:00:00,97.15,98.65,6.7
2024-05-02 00:00:00,97.15,98.65,6.7
2024-05-03 00:00:00,97.3,99.1,6.5
2024-05-06 00:00:00,97.6,99.1,6.5
2024-05-07 00:00:00,97.95,99.45,6.35
2024-05-08 00:00:00,97.65,99.45,6.35
2024-05-13 00:00:00,97.85,99.65,6.26
2024-05-14 00:00:00,97.75,99.55,6.3
2024-05-15 00:00:00,97.75,99.35,6.39
2024-05-16 00:00:00,98,99.5,6.32
2024-05-17 00:00:00,98.1,99.6,6.28
2024-05-20 00:00:00,98.1,99.6,6.28
2024-05-21 00:00:00,98.1,99.6,6.28
2024-05-22 00:00:00,98.25,99.75,6.21
