price_date,sell_percentage,buy_percentage,yield_value
2022-06-14 00:00:00,96.5,99.5,5.15
2022-06-15 00:00:00,96.5,99.5,5.15
2022-06-16 00:00:00,96.5,99.3,5.23
2022-06-17 00:00:00,97.2,99.9,4.99
2022-06-20 00:00:00,97.5,99.9,4.99
2022-06-21 00:00:00,97,99.8,5.03
2022-06-22 00:00:00,97.05,99.7,5.07
2022-06-23 00:00:00,97.5,99.9,4.99
2022-06-24 00:00:00,96.6,99.5,5.15
2022-06-27 00:00:00,97.1,99.5,5.15
2022-06-28 00:00:00,96.6,99.5,5.15
2022-06-29 00:00:00,97.8,99.5,5.15
2022-06-30 00:00:00,97.8,100.05,4.93
2022-07-01 00:00:00,97.6,99.3,5.23
2022-07-04 00:00:00,97.6,99.4,5.19
2022-07-05 00:00:00,98.5,99.5,5.15
2022-07-06 00:00:00,98.35,99.55,5.13
2022-07-07 00:00:00,98.6,99.7,5.07
2022-07-08 00:00:00,98.15,99.6,5.11
2022-07-11 00:00:00,98,99.6,5.11
2022-07-12 00:00:00,98.1,99.55,5.13
2022-07-13 00:00:00,98.5,99.45,5.17
2022-07-14 00:00:00,98.1,99.7,5.07
2022-07-15 00:00:00,97.6,99.55,5.13
2022-07-18 00:00:00,97.6,99.3,5.23
2022-07-19 00:00:00,97.95,99.25,5.26
2022-07-20 00:00:00,97.6,99.25,5.26
2022-07-21 00:00:00,97.6,99.25,5.26
2022-07-22 00:00:00,97.5,98.7,5.49
2022-07-25 00:00:00,97.5,98.65,5.51
2022-07-26 00:00:00,97.75,99.25,5.26
2022-07-27 00:00:00,97.75,99.25,5.26
2022-07-28 00:00:00,97.6,99.25,5.26
2022-07-29 00:00:00,98.35,98.95,5.38
2022-08-01 00:00:00,98.55,99.1,5.32
2022-08-02 00:00:00,98.55,99.25,5.26
2022-08-03 00:00:00,98.4,99.75,5.05
2022-08-04 00:00:00,98.1,99.75,5.05
2022-08-05 00:00:00,97.85,99.25,5.26
2022-08-08 00:00:00,97.85,99.25,5.26
2022-08-09 00:00:00,97.85,99.25,5.26
2022-08-10 00:00:00,97.85,99.25,5.26
2022-08-11 00:00:00,97.6,99.25,5.26
2022-08-12 00:00:00,97.4,99.25,5.26
2022-08-15 00:00:00,97.4,99.25,5.27
2022-08-16 00:00:00,97.4,99.25,5.27
2022-08-18 00:00:00,97.8,99.25,5.27
2022-08-19 00:00:00,97.6,98.95,5.4
2022-08-22 00:00:00,97.8,98.95,5.4
2022-08-23 00:00:00,97.7,98.8,5.46
2022-08-24 00:00:00,97.7,99.05,5.35
2022-08-25 00:00:00,97.7,98.55,5.57
2022-08-26 00:00:00,97.7,98.55,5.57
2022-08-29 00:00:00,97.6,99,5.37
2022-08-30 00:00:00,97.6,99,5.38
2022-08-31 00:00:00,97.6,99,5.38
2022-09-01 00:00:00,97.6,99,5.38
2022-09-02 00:00:00,97.6,99,5.38
2022-09-05 00:00:00,97.5,98.75,5.48
2022-09-06 00:00:00,97.5,98.75,5.49
2022-09-07 00:00:00,97.5,98.75,5.49
2022-09-08 00:00:00,97.45,98.7,5.51
2022-09-09 00:00:00,97.45,98.85,5.45
2022-09-12 00:00:00,97.45,98.85,5.45
2022-09-13 00:00:00,97.45,98.85,5.45
2022-09-14 00:00:00,97.45,98.85,5.45
2022-09-15 00:00:00,97.45,98.85,5.45
2022-09-16 00:00:00,97.45,98.75,5.5
2022-09-19 00:00:00,97.45,98.75,5.5
2022-09-20 00:00:00,97.45,98.85,5.45
2022-09-21 00:00:00,97.45,98.75,5.5
2022-09-22 00:00:00,97.45,98.75,5.5
2022-09-23 00:00:00,97.2,98.75,5.5
2022-09-26 00:00:00,96.7,97.75,5.95
2022-09-27 00:00:00,96.7,98.15,5.77
2022-09-28 00:00:00,96.7,97.75,5.95
2022-09-29 00:00:00,95.75,97.75,5.95
2022-09-30 00:00:00,95.75,97.25,6.18
2022-10-03 00:00:00,95.75,97.05,6.28
2022-10-04 00:00:00,95.75,97.2,6.21
2022-10-05 00:00:00,95.75,97.15,6.24
2022-10-06 00:00:00,95.7,97,6.31
2022-10-07 00:00:00,95.7,97.85,5.92
2022-10-10 00:00:00,95.7,97.85,5.92
2022-10-11 00:00:00,95.7,97.7,5.99
2022-10-12 00:00:00,95.7,97.3,6.17
2022-10-13 00:00:00,95.7,97.2,6.22
2022-10-14 00:00:00,95.7,97.2,6.22
2022-10-17 00:00:00,95.7,97.35,6.14
2022-10-18 00:00:00,95.7,97.3,6.18
2022-10-19 00:00:00,95.7,97.3,6.18
2022-10-20 00:00:00,95.7,97.3,6.18
2022-10-21 00:00:00,95.7,97.15,6.26
2022-10-24 00:00:00,95.7,96.8,6.42
2022-10-25 00:00:00,95.7,96.8,6.42
2022-10-26 00:00:00,95.7,96.8,6.43
2022-10-27 00:00:00,95.6,96.7,6.48
2022-10-28 00:00:00,95.6,96.7,6.48
2022-10-31 00:00:00,95.3,96.6,6.53
2022-11-01 00:00:00,95.2,96.3,6.65
2022-11-02 00:00:00,95.2,96.8,6.44
2022-11-03 00:00:00,95.2,96.3,6.68
2022-11-04 00:00:00,95.2,96,6.8
2022-11-07 00:00:00,95.4,96.3,6.67
2022-11-08 00:00:00,95.35,96.2,6.73
2022-11-09 00:00:00,95.35,96.2,6.74
2022-11-10 00:00:00,95.5,97.2,6.26
2022-11-11 00:00:00,95.65,97.3,6.21
2022-11-14 00:00:00,95.7,96.8,6.46
2022-11-15 00:00:00,95.7,96.8,6.46
2022-11-16 00:00:00,95.7,96.8,6.46
2022-11-17 00:00:00,95.7,96.8,6.46
2022-11-18 00:00:00,95.7,96.7,6.51
2022-11-21 00:00:00,95.7,96.7,6.52
2022-11-22 00:00:00,95.7,96.7,6.52
2022-11-23 00:00:00,95.7,96.7,6.52
2022-11-24 00:00:00,95.9,97.1,6.32
2022-11-25 00:00:00,95.9,97,6.38
2022-11-28 00:00:00,95.95,97.05,6.36
2022-11-29 00:00:00,95.95,97.05,6.36
2022-11-30 00:00:00,96.1,97.15,6.31
2022-11-30 00:00:00,96.1,97.15,6.31
2022-12-01 00:00:00,96.1,97.5,6.15
2022-12-02 00:00:00,97.3,98,5.9
2022-12-05 00:00:00,97,98.1,5.85
2022-12-07 00:00:00,97.1,98,5.9
2022-12-08 00:00:00,96.65,98,5.91
2022-12-09 00:00:00,96.8,98.3,5.77
2022-12-12 00:00:00,96.8,98.3,5.77
2022-12-13 00:00:00,96.9,98.2,5.82
2022-12-14 00:00:00,96.9,98.2,5.82
2022-12-15 00:00:00,96.9,98.2,5.82
2022-12-16 00:00:00,96.9,98.2,5.82
2022-12-19 00:00:00,96.9,98.2,5.82
2022-12-20 00:00:00,96.9,98.15,5.85
2022-12-21 00:00:00,96.9,98,5.92
2022-12-22 00:00:00,96.9,98,5.93
2022-12-23 00:00:00,96.9,98,5.93
2022-12-26 00:00:00,96.9,98,5.93
2022-12-27 00:00:00,96.8,97.9,5.98
2022-12-28 00:00:00,96.8,97.9,5.98
2022-12-29 00:00:00,97.05,98.1,5.89
2022-12-30 00:00:00,97,98.1,5.89
2023-01-02 00:00:00,97,98.1,5.89
2023-01-03 00:00:00,97,98.1,5.89
2023-01-04 00:00:00,97,98.1,5.89
2023-01-05 00:00:00,97,98.1,5.89
2023-01-06 00:00:00,97,98,5.95
2023-01-09 00:00:00,97,98,5.95
