price_date,sell_percentage,buy_percentage,yield_value
2024-01-11 00:00:00,98.3,99.5,6.22
2024-01-12 00:00:00,98.3,99.5,6.22
2024-01-16 00:00:00,98.3,99.5,6.22
2024-01-17 00:00:00,98.4,99.6,6.2
2024-01-18 00:00:00,98.4,99.6,6.2
2024-01-18 00:00:00,98.4,99.6,6.2
2024-01-22 00:00:00,98.3,99.5,6.22
2024-01-23 00:00:00,98.3,99.5,6.22
2024-01-24 00:00:00,99.5,100.55,5.96
2024-01-25 00:00:00,99.5,100.55,5.96
2024-01-26 00:00:00,99.5,100.55,5.96
2024-01-29 00:00:00,99.5,100.55,5.96
2024-01-30 00:00:00,99.3,100.55,5.96
2024-01-31 00:00:00,99.3,100.55,5.96
2024-02-01 00:00:00,99.3,100.55,5.96
2024-02-02 00:00:00,99.3,100.55,5.96
2024-02-05 00:00:00,99.3,100.55,5.96
2024-02-06 00:00:00,99.3,100.55,5.96
2024-02-07 00:00:00,99.3,100.55,5.96
2024-02-12 00:00:00,99.3,100.55,5.96
2024-02-13 00:00:00,99.3,100.55,5.96
2024-02-15 00:00:00,99.3,100.55,5.96
2024-02-16 00:00:00,99.3,100.55,5.96
2024-02-19 00:00:00,98.7,100,6.1
2024-02-20 00:00:00,98.5,100,6.1
2024-02-21 00:00:00,98.2,99.7,6.18
2024-02-22 00:00:00,98.2,99.7,6.18
2024-02-22 00:00:00,98.2,99.7,6.18
2024-02-26 00:00:00,98.2,99.7,6.18
2024-02-27 00:00:00,99,100.75,5.91
2024-02-28 00:00:00,99,100.75,5.91
2024-02-29 00:00:00,99,100.75,5.91
2024-03-01 00:00:00,99.2,100.75,5.91
2024-03-04 00:00:00,99,100.75,5.91
2024-03-05 00:00:00,98.8,100.3,6.02
2024-03-06 00:00:00,98.25,99.25,6.29
2024-03-07 00:00:00,99.25,100.35,6.01
2024-03-08 00:00:00,99.25,100.45,5.99
2024-03-13 00:00:00,99.3,100.4,6
2024-03-14 00:00:00,99.35,100.45,5.99
2024-03-15 00:00:00,98.9,100,6.1
2024-03-18 00:00:00,98.9,100,6.1
2024-03-19 00:00:00,99.1,100.2,6.05
2024-03-20 00:00:00,99,100,6.1
2024-03-21 00:00:00,98.75,99.75,6.16
2024-03-22 00:00:00,99.1,100.1,6.07
2024-03-25 00:00:00,99.2,100.1,6.07
2024-03-26 00:00:00,99.2,100.1,6.07
2024-03-27 00:00:00,99.35,100.35,6.01
2024-03-28 00:00:00,99.35,100.35,6.01
2024-04-01 00:00:00,99.35,100.35,6.01
2024-04-02 00:00:00,99.35,100.35,6.01
2024-04-03 00:00:00,99.35,100.35,6.01
2024-04-04 00:00:00,99.35,100.35,6.01
2024-04-05 00:00:00,99,100,6.1
2024-04-16 00:00:00,97.95,98.95,6.37
2024-04-17 00:00:00,97.15,98.35,6.53
2024-04-18 00:00:00,96.75,98.05,6.61
2024-04-19 00:00:00,96.15,97.65,6.72
2024-04-22 00:00:00,96.2,97.7,6.71
2024-04-23 00:00:00,96.2,97.7,6.71
2024-04-24 00:00:00,96.05,97.55,6.75
2024-04-25 00:00:00,96.05,97.55,6.75
2024-04-26 00:00:00,96.05,97.55,6.75
2024-04-29 00:00:00,95.4,96.9,6.93
2024-04-30 00:00:00,95.4,96.9,6.93
2024-05-02 00:00:00,95.55,97.05,6.89
2024-05-03 00:00:00,95.95,97.75,6.7
2024-05-06 00:00:00,96.25,97.75,6.7
2024-05-07 00:00:00,96.45,97.95,6.65
2024-05-08 00:00:00,96.65,98.45,6.51
2024-05-13 00:00:00,96.65,98.45,6.51
2024-05-14 00:00:00,96.65,98.45,6.51
2024-05-15 00:00:00,96.75,98.55,6.49
2024-05-16 00:00:00,96.75,98.55,6.49
2024-05-17 00:00:00,96.95,98.75,6.43
2024-05-20 00:00:00,96.8,98.6,6.47
2024-05-21 00:00:00,96.8,98.6,6.47
2024-05-22 00:00:00,97.05,98.85,6.41
