Date,Open,High,Low,Close,Adj Close,Volume
2022-02-23,136.000000,174.000000,121.000000,122.000000,120.096794,1648612000
2022-02-24,120.000000,126.000000,114.000000,114.000000,112.221596,291421600
2022-02-25,114.000000,114.000000,107.000000,107.000000,105.330795,69162700
2022-03-01,100.000000,106.000000,100.000000,100.000000,98.439995,83775700
2022-03-02,93.000000,97.000000,93.000000,93.000000,91.549194,53220000
2022-03-04,90.000000,116.000000,89.000000,106.000000,104.346397,943626000
2022-03-07,106.000000,107.000000,99.000000,99.000000,97.455597,165574400
2022-03-08,99.000000,105.000000,94.000000,95.000000,93.517998,109893900
2022-03-09,97.000000,103.000000,95.000000,99.000000,97.455597,86775200
2022-03-10,100.000000,102.000000,97.000000,99.000000,97.455597,55126700
2022-03-11,98.000000,102.000000,96.000000,98.000000,96.471199,85260200
2022-03-14,98.000000,100.000000,96.000000,97.000000,95.486801,44867400
2022-03-15,98.000000,98.000000,94.000000,94.000000,92.533600,40315700
2022-03-16,94.000000,98.000000,94.000000,96.000000,94.502396,35266400
2022-03-17,96.000000,97.000000,94.000000,94.000000,92.533600,22297000
2022-03-18,95.000000,96.000000,91.000000,94.000000,92.533600,46068600
2022-03-21,94.000000,97.000000,92.000000,93.000000,91.549194,32653200
2022-03-22,87.000000,95.000000,87.000000,93.000000,91.549194,25584200
2022-03-23,95.000000,95.000000,93.000000,93.000000,91.549194,21922300
2022-03-24,94.000000,100.000000,92.000000,94.000000,92.533600,122573200
2022-03-25,95.000000,96.000000,93.000000,93.000000,91.549194,25162800
2022-03-28,94.000000,95.000000,91.000000,93.000000,91.549194,27309500
2022-03-29,93.000000,94.000000,91.000000,92.000000,90.564796,19672600
2022-03-30,92.000000,95.000000,91.000000,92.000000,90.564796,35319400
2022-03-31,92.000000,93.000000,90.000000,90.000000,88.596001,18008400
2022-04-01,91.000000,92.000000,90.000000,90.000000,88.596001,13986000
2022-04-04,90.000000,92.000000,89.000000,90.000000,88.596001,18989600
2022-04-05,90.000000,95.000000,90.000000,90.000000,88.596001,49928500
2022-04-06,90.000000,91.000000,88.000000,89.000000,87.611595,30883100
2022-04-07,89.000000,90.000000,88.000000,88.000000,86.627197,18508700
2022-04-08,88.000000,89.000000,87.000000,87.000000,85.642799,24481200
2022-04-11,88.000000,88.000000,83.000000,83.000000,81.705200,59166400
2022-04-12,84.000000,88.000000,81.000000,83.000000,81.705200,47645800
2022-04-13,83.000000,86.000000,82.000000,83.000000,81.705200,17067500
2022-04-14,83.000000,84.000000,81.000000,82.000000,80.720795,16611000
2022-04-18,82.000000,84.000000,80.000000,80.000000,78.751999,58887100
2022-04-19,80.000000,81.000000,76.000000,76.000000,74.814400,38583200
2022-04-20,77.000000,78.000000,73.000000,74.000000,72.845596,30519000
2022-04-21,74.000000,93.000000,74.000000,87.000000,85.642799,476696000
2022-04-22,88.000000,101.000000,81.000000,81.000000,79.736397,124712800
2022-04-25,78.000000,80.000000,76.000000,76.000000,74.814400,49958800
2022-04-26,76.000000,80.000000,75.000000,78.000000,76.783195,31914300
2022-04-27,78.000000,78.000000,76.000000,78.000000,76.783195,16851600
2022-04-28,80.000000,82.000000,79.000000,81.000000,79.736397,35373400
2022-05-09,81.000000,82.000000,77.000000,78.000000,76.783195,16573800
