Date,Open,High,Low,Close,Adj Close,Volume
2021-06-28,750.000000,850.000000,745.000000,755.000000,755.000000,374023600
2021-06-29,755.000000,770.000000,715.000000,735.000000,735.000000,173551000
2021-06-30,735.000000,755.000000,730.000000,750.000000,750.000000,85827700
2021-07-01,755.000000,760.000000,735.000000,750.000000,750.000000,43984500
2021-07-02,750.000000,755.000000,735.000000,750.000000,750.000000,41392000
2021-07-05,750.000000,755.000000,730.000000,735.000000,735.000000,38339300
2021-07-06,735.000000,735.000000,720.000000,720.000000,720.000000,51811500
2021-07-07,725.000000,740.000000,720.000000,725.000000,725.000000,46850600
2021-07-08,730.000000,730.000000,715.000000,720.000000,720.000000,39980300
2021-07-09,720.000000,725.000000,700.000000,705.000000,705.000000,36847100
2021-07-12,710.000000,725.000000,705.000000,720.000000,720.000000,27965300
2021-07-13,720.000000,725.000000,670.000000,680.000000,680.000000,35006200
2021-07-14,675.000000,685.000000,635.000000,635.000000,635.000000,30342000
2021-07-15,640.000000,685.000000,620.000000,650.000000,650.000000,32712300
2021-07-16,650.000000,660.000000,640.000000,645.000000,645.000000,11152000
2021-07-19,650.000000,650.000000,630.000000,635.000000,635.000000,17407600
2021-07-21,635.000000,675.000000,635.000000,665.000000,665.000000,39763100
2021-07-22,660.000000,695.000000,660.000000,690.000000,690.000000,49715300
2021-07-23,685.000000,700.000000,680.000000,690.000000,690.000000,20208400
2021-07-26,690.000000,710.000000,690.000000,710.000000,710.000000,32639700
2021-07-27,710.000000,715.000000,680.000000,690.000000,690.000000,19992500
2021-07-28,690.000000,695.000000,645.000000,645.000000,645.000000,17306500
2021-07-29,645.000000,655.000000,640.000000,650.000000,650.000000,4830300
2021-07-30,650.000000,665.000000,635.000000,650.000000,650.000000,4335400
2021-08-02,650.000000,665.000000,640.000000,650.000000,650.000000,15132100
2021-08-03,655.000000,660.000000,645.000000,650.000000,650.000000,15063400
2021-08-04,655.000000,665.000000,640.000000,640.000000,640.000000,24193800
2021-08-05,640.000000,650.000000,625.000000,635.000000,635.000000,18447800
2021-08-06,635.000000,645.000000,615.000000,620.000000,620.000000,17537200
2021-08-09,615.000000,620.000000,580.000000,610.000000,610.000000,23008100
2021-08-10,580.000000,610.000000,580.000000,595.000000,595.000000,10191400
2021-08-12,590.000000,595.000000,575.000000,580.000000,580.000000,9403600
2021-08-13,580.000000,585.000000,550.000000,570.000000,570.000000,21707600
2021-08-16,570.000000,590.000000,555.000000,590.000000,590.000000,28227100
2021-08-18,595.000000,620.000000,580.000000,615.000000,615.000000,32481100
2021-08-19,620.000000,625.000000,600.000000,625.000000,625.000000,29110500
2021-08-20,630.000000,630.000000,605.000000,625.000000,625.000000,23225500
2021-08-23,625.000000,630.000000,615.000000,620.000000,620.000000,21843500
2021-08-24,620.000000,620.000000,595.000000,610.000000,610.000000,18888900
2021-08-25,605.000000,605.000000,590.000000,600.000000,600.000000,18712800
2021-08-26,600.000000,610.000000,590.000000,605.000000,605.000000,13951100
2021-08-27,605.000000,610.000000,590.000000,610.000000,610.000000,18258900
2021-08-30,610.000000,620.000000,600.000000,620.000000,620.000000,17169700
2021-08-31,620.000000,625.000000,600.000000,615.000000,615.000000,16254800
2021-09-01,615.000000,615.000000,595.000000,610.000000,610.000000,18557600
2021-09-02,610.000000,610.000000,595.000000,605.000000,605.000000,19830300
2021-09-03,600.000000,600.000000,590.000000,595.000000,595.000000,17211400
2021-09-06,595.000000,600.000000,590.000000,595.000000,595.000000,4165100
2021-09-07,595.000000,595.000000,585.000000,585.000000,585.000000,18337700
2021-09-08,585.000000,590.000000,580.000000,585.000000,585.000000,15226700
2021-09-09,590.000000,590.000000,575.000000,590.000000,590.000000,15741600
2021-09-10,590.000000,590.000000,580.000000,585.000000,585.000000,9204800
2021-09-13,585.000000,585.000000,575.000000,580.000000,580.000000,14078400
2021-09-14,580.000000,580.000000,565.000000,570.000000,570.000000,11475000
2021-09-15,565.000000,570.000000,560.000000,570.000000,570.000000,15687300
2021-09-16,575.000000,575.000000,555.000000,570.000000,570.000000,18081100
2021-09-17,570.000000,575.000000,555.000000,570.000000,570.000000,14217400
2021-09-20,570.000000,570.000000,550.000000,550.000000,550.000000,15539000
2021-09-21,545.000000,555.000000,535.000000,550.000000,550.000000,12091000
2021-09-22,550.000000,555.000000,535.000000,550.000000,550.000000,15614900
2021-09-23,550.000000,570.000000,545.000000,565.000000,565.000000,17416600
2021-09-24,565.000000,580.000000,550.000000,580.000000,580.000000,17572700
2021-09-27,580.000000,595.000000,570.000000,585.000000,585.000000,17582200
2021-09-28,580.000000,585.000000,560.000000,570.000000,570.000000,10113900
2021-09-29,570.000000,570.000000,560.000000,565.000000,565.000000,13833500
2021-09-30,565.000000,565.000000,560.000000,565.000000,565.000000,9560600
2021-10-01,565.000000,570.000000,550.000000,560.000000,560.000000,12220500
2021-10-04,560.000000,580.000000,560.000000,575.000000,575.000000,7852100
2021-10-05,575.000000,585.000000,565.000000,580.000000,580.000000,2942900
2021-10-06,595.000000,605.000000,580.000000,600.000000,600.000000,10134900
2021-10-07,605.000000,700.000000,590.000000,635.000000,635.000000,45492800
2021-10-08,660.000000,710.000000,650.000000,710.000000,710.000000,67155200
2021-10-11,740.000000,765.000000,685.000000,690.000000,690.000000,58792300
2021-10-12,670.000000,700.000000,645.000000,645.000000,645.000000,37665600
2021-10-13,665.000000,665.000000,600.000000,605.000000,605.000000,26726700
2021-10-14,615.000000,650.000000,600.000000,615.000000,615.000000,15937100
2021-10-15,640.000000,640.000000,610.000000,635.000000,635.000000,7852600
2021-10-18,635.000000,680.000000,615.000000,665.000000,665.000000,28289400
2021-10-19,665.000000,675.000000,650.000000,650.000000,650.000000,7661600
2021-10-21,650.000000,660.000000,635.000000,650.000000,650.000000,6936700
2021-10-22,645.000000,665.000000,615.000000,655.000000,655.000000,15073100
2021-10-25,655.000000,655.000000,630.000000,645.000000,645.000000,3299600
2021-10-26,645.000000,645.000000,625.000000,625.000000,625.000000,4031700
2021-10-27,625.000000,695.000000,620.000000,630.000000,630.000000,44206300
2021-10-28,635.000000,640.000000,600.000000,610.000000,610.000000,10049800
2021-10-29,610.000000,630.000000,600.000000,610.000000,610.000000,4103500
2021-11-01,615.000000,620.000000,610.000000,615.000000,615.000000,3634200
2021-11-02,615.000000,620.000000,600.000000,605.000000,605.000000,3642000
2021-11-03,605.000000,615.000000,600.000000,600.000000,600.000000,3102200
2021-11-04,610.000000,615.000000,590.000000,595.000000,595.000000,6337100
2021-11-05,590.000000,610.000000,585.000000,600.000000,600.000000,5033800
2021-11-08,600.000000,615.000000,600.000000,600.000000,600.000000,5212400
2021-11-09,610.000000,615.000000,595.000000,615.000000,615.000000,4237800
2021-11-10,615.000000,615.000000,595.000000,605.000000,605.000000,3919600
2021-11-11,610.000000,615.000000,605.000000,605.000000,605.000000,2094600
2021-11-12,610.000000,615.000000,590.000000,590.000000,590.000000,17958700
2021-11-15,590.000000,605.000000,585.000000,590.000000,590.000000,11213600
2021-11-16,590.000000,595.000000,585.000000,590.000000,590.000000,2827500
2021-11-17,590.000000,600.000000,585.000000,600.000000,600.000000,3233300
2021-11-18,600.000000,605.000000,590.000000,595.000000,595.000000,3385800
2021-11-19,600.000000,630.000000,590.000000,620.000000,620.000000,25453400
2021-11-22,625.000000,635.000000,610.000000,610.000000,610.000000,4558700
2021-11-23,610.000000,610.000000,595.000000,595.000000,595.000000,3939600
2021-11-24,595.000000,605.000000,580.000000,590.000000,590.000000,9336800
2021-11-25,595.000000,600.000000,580.000000,580.000000,580.000000,13053400
2021-11-26,580.000000,585.000000,555.000000,560.000000,560.000000,9928000
2021-11-29,570.000000,570.000000,545.000000,550.000000,550.000000,26503100
2021-11-30,560.000000,570.000000,550.000000,550.000000,550.000000,6068400
2021-12-01,550.000000,560.000000,545.000000,550.000000,550.000000,4016600
2021-12-02,550.000000,555.000000,545.000000,550.000000,550.000000,3954100
2021-12-03,550.000000,555.000000,545.000000,550.000000,550.000000,16473600
2021-12-06,555.000000,565.000000,555.000000,560.000000,560.000000,9611500
2021-12-07,560.000000,565.000000,545.000000,555.000000,555.000000,22183300
2021-12-08,555.000000,570.000000,555.000000,560.000000,560.000000,17177800
2021-12-09,565.000000,565.000000,550.000000,560.000000,560.000000,2236000
2021-12-10,560.000000,570.000000,550.000000,555.000000,555.000000,3970900
2021-12-13,555.000000,565.000000,550.000000,555.000000,555.000000,2579400
2021-12-14,555.000000,560.000000,550.000000,550.000000,550.000000,2769600
2021-12-15,550.000000,560.000000,540.000000,555.000000,555.000000,1997100
2021-12-16,555.000000,560.000000,545.000000,550.000000,550.000000,4060100
2021-12-17,555.000000,560.000000,545.000000,560.000000,560.000000,2721400
2021-12-20,560.000000,560.000000,545.000000,545.000000,545.000000,1618600
2021-12-21,545.000000,550.000000,540.000000,540.000000,540.000000,2370000
2021-12-22,540.000000,550.000000,535.000000,535.000000,535.000000,3668900
2021-12-23,540.000000,545.000000,530.000000,540.000000,540.000000,7539000
2021-12-24,545.000000,585.000000,540.000000,570.000000,570.000000,12932200
2021-12-27,575.000000,580.000000,540.000000,545.000000,545.000000,5373600
2021-12-28,550.000000,550.000000,535.000000,545.000000,545.000000,31361700
2021-12-29,545.000000,555.000000,535.000000,550.000000,550.000000,4632100
2021-12-30,540.000000,565.000000,535.000000,565.000000,565.000000,3671200
2022-01-03,555.000000,555.000000,530.000000,530.000000,530.000000,22317900
2022-01-04,525.000000,530.000000,498.000000,510.000000,510.000000,24011500
2022-01-05,510.000000,510.000000,500.000000,500.000000,500.000000,4111400
2022-01-06,500.000000,505.000000,490.000000,490.000000,490.000000,14077700
2022-01-07,492.000000,492.000000,466.000000,474.000000,474.000000,9923900
2022-01-10,474.000000,478.000000,460.000000,478.000000,478.000000,8040000
2022-01-11,478.000000,480.000000,468.000000,470.000000,470.000000,3766600
2022-01-12,470.000000,500.000000,470.000000,476.000000,476.000000,8156400
