Date,Open,High,Low,Close,Adj Close,Volume
2023-09-07,300.000000,332.000000,258.000000,290.000000,290.000000,634943700
2023-09-08,294.000000,306.000000,270.000000,270.000000,270.000000,125452100
2023-09-11,230.000000,272.000000,230.000000,266.000000,266.000000,49557200
2023-09-12,268.000000,278.000000,258.000000,262.000000,262.000000,27012500
2023-09-13,250.000000,270.000000,250.000000,260.000000,260.000000,19461400
2023-09-14,260.000000,278.000000,260.000000,276.000000,276.000000,31876000
2023-09-15,278.000000,282.000000,264.000000,270.000000,270.000000,15138400
2023-09-18,270.000000,270.000000,262.000000,266.000000,266.000000,9297500
2023-09-19,270.000000,302.000000,268.000000,286.000000,286.000000,94000000
2023-09-20,286.000000,292.000000,278.000000,278.000000,278.000000,22080100
2023-09-21,262.000000,284.000000,262.000000,276.000000,276.000000,18652000
2023-09-22,278.000000,282.000000,272.000000,274.000000,274.000000,6009900
2023-09-25,276.000000,278.000000,268.000000,270.000000,270.000000,10636900
2023-09-26,270.000000,276.000000,262.000000,264.000000,264.000000,17210500
2023-09-27,264.000000,272.000000,264.000000,268.000000,268.000000,7047300
2023-09-29,268.000000,272.000000,264.000000,264.000000,264.000000,8534700
2023-10-02,264.000000,270.000000,260.000000,262.000000,262.000000,10851000
2023-10-03,250.000000,268.000000,250.000000,266.000000,266.000000,6123800
2023-10-04,266.000000,268.000000,256.000000,266.000000,266.000000,12240000
2023-10-05,268.000000,284.000000,266.000000,270.000000,270.000000,15232500
2023-10-06,272.000000,276.000000,268.000000,272.000000,272.000000,4750500
2023-10-09,272.000000,274.000000,268.000000,270.000000,270.000000,4221900
2023-10-10,270.000000,274.000000,268.000000,268.000000,268.000000,3537600
2023-10-11,266.000000,272.000000,266.000000,268.000000,268.000000,2779300
2023-10-12,268.000000,270.000000,266.000000,266.000000,266.000000,4203000
2023-10-13,268.000000,282.000000,266.000000,270.000000,270.000000,6463800
2023-10-16,272.000000,274.000000,266.000000,268.000000,268.000000,4488500
2023-10-17,268.000000,272.000000,266.000000,272.000000,272.000000,1829000
2023-10-18,272.000000,274.000000,268.000000,270.000000,270.000000,2114100
2023-10-19,270.000000,272.000000,264.000000,268.000000,268.000000,4032700
2023-10-20,268.000000,268.000000,256.000000,256.000000,256.000000,7283500
2023-10-23,250.000000,258.000000,197.000000,210.000000,210.000000,45323400
2023-10-24,190.000000,222.000000,177.000000,182.000000,182.000000,35238900
2023-10-25,182.000000,206.000000,169.000000,194.000000,194.000000,38428900
2023-10-26,195.000000,214.000000,192.000000,208.000000,208.000000,19419300
2023-10-27,210.000000,218.000000,200.000000,200.000000,200.000000,6794500
2023-10-30,200.000000,204.000000,191.000000,191.000000,191.000000,4308800
2023-10-31,190.000000,197.000000,183.000000,187.000000,187.000000,9003400
2023-11-01,183.000000,190.000000,178.000000,178.000000,178.000000,3864200
2023-11-02,175.000000,186.000000,170.000000,180.000000,180.000000,2162600
2023-11-03,182.000000,192.000000,175.000000,175.000000,175.000000,1512600
2023-11-06,159.000000,191.000000,159.000000,190.000000,190.000000,6621900
2023-11-07,190.000000,210.000000,190.000000,198.000000,198.000000,14067800
