Date,Open,High,Low,Close,Adj Close,Volume
2020-03-09,178.000000,178.000000,178.000000,178.000000,178.000000,316500
2020-03-10,218.000000,240.000000,163.000000,200.000000,200.000000,197412500
2020-03-11,204.000000,226.000000,192.000000,202.000000,202.000000,415547500
2020-03-12,200.000000,220.000000,183.000000,208.000000,208.000000,29808000
2020-03-13,200.000000,206.000000,194.000000,200.000000,200.000000,7647400
2020-03-16,197.000000,199.000000,186.000000,190.000000,190.000000,1426000
2020-03-17,190.000000,190.000000,177.000000,189.000000,189.000000,362000
2020-03-18,185.000000,185.000000,176.000000,180.000000,180.000000,692500
2020-03-19,168.000000,210.000000,168.000000,197.000000,197.000000,20465400
2020-03-20,197.000000,204.000000,184.000000,200.000000,200.000000,15140200
2020-03-23,195.000000,202.000000,193.000000,193.000000,193.000000,2931200
2020-03-24,193.000000,197.000000,191.000000,193.000000,193.000000,1164800
2020-03-26,192.000000,220.000000,191.000000,210.000000,210.000000,16021700
2020-03-27,210.000000,260.000000,208.000000,248.000000,248.000000,29247700
2020-03-30,248.000000,262.000000,240.000000,242.000000,242.000000,9985900
2020-03-31,246.000000,262.000000,234.000000,238.000000,238.000000,6605400
2020-04-01,238.000000,244.000000,228.000000,228.000000,228.000000,1763600
2020-04-02,226.000000,234.000000,224.000000,226.000000,226.000000,4638400
2020-04-03,226.000000,268.000000,224.000000,268.000000,268.000000,22794500
2020-04-06,268.000000,300.000000,250.000000,268.000000,268.000000,43612400
2020-04-07,266.000000,282.000000,250.000000,250.000000,250.000000,21595000
2020-04-08,248.000000,248.000000,234.000000,240.000000,240.000000,2105300
2020-04-09,240.000000,254.000000,238.000000,242.000000,242.000000,5980300
2020-04-13,248.000000,252.000000,238.000000,238.000000,238.000000,2618000
2020-04-14,238.000000,240.000000,232.000000,240.000000,240.000000,1347700
2020-04-15,242.000000,254.000000,230.000000,250.000000,250.000000,16053600
2020-04-16,250.000000,250.000000,240.000000,248.000000,248.000000,9295300
2020-04-17,248.000000,252.000000,234.000000,246.000000,246.000000,10546600
2020-04-20,244.000000,246.000000,230.000000,240.000000,240.000000,11067200
2020-04-21,234.000000,244.000000,224.000000,236.000000,236.000000,16183100
2020-04-22,234.000000,240.000000,226.000000,240.000000,240.000000,15017400
2020-04-23,240.000000,244.000000,230.000000,230.000000,230.000000,13479900
2020-04-24,228.000000,244.000000,214.000000,236.000000,236.000000,27441200
2020-04-27,236.000000,238.000000,224.000000,232.000000,232.000000,52686300
