Date,Open,High,Low,Close,Adj Close,Volume
2001-05-15,6.250000,6.250000,6.250000,6.250000,2.081144,100000
2001-05-16,6.250000,6.250000,6.250000,6.250000,2.081144,0
2001-05-17,6.250000,6.250000,6.250000,6.250000,2.081144,0
2001-05-18,7.500000,7.500000,7.500000,7.500000,2.497373,100000
2001-05-21,7.500000,7.500000,7.500000,7.500000,2.497373,0
2001-05-22,6.750000,6.750000,6.750000,6.750000,2.247635,20000
2001-05-23,8.500000,9.750000,8.500000,9.750000,3.246584,1030000
2001-05-24,9.750000,9.750000,9.750000,9.750000,3.246584,0
2001-05-25,9.750000,9.750000,9.750000,9.750000,3.246584,0
2001-05-28,8.750000,8.750000,8.750000,8.750000,2.913602,20000
2001-05-29,8.750000,8.750000,8.750000,8.750000,2.913602,0
2001-05-30,8.250000,8.750000,8.250000,8.250000,2.747110,540000
2001-05-31,7.750000,9.500000,7.750000,8.750000,2.913602,270000
2001-06-01,9.750000,10.250000,7.750000,9.500000,3.163338,1130000
2001-06-04,9.500000,9.500000,9.500000,9.500000,3.163338,0
2001-06-05,7.750000,7.750000,7.750000,7.750000,2.580618,10000
2001-06-06,7.750000,7.750000,7.750000,7.750000,2.580618,0
2001-06-07,7.750000,7.750000,7.500000,7.500000,2.497373,300000
2001-06-08,7.500000,7.500000,7.500000,7.500000,2.497373,500000
2001-06-11,8.000000,8.000000,8.000000,8.000000,2.663864,200000
2001-06-12,7.500000,8.000000,7.500000,8.000000,2.663864,300000
2001-06-13,9.500000,9.500000,8.500000,9.250000,3.080093,90000
2001-06-14,8.250000,8.750000,7.000000,7.000000,2.330882,1100000
2001-06-15,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-06-18,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-06-19,6.750000,8.250000,6.500000,6.750000,2.247635,6660000
2001-06-20,6.750000,6.750000,6.750000,6.750000,2.247635,0
2001-06-21,6.750000,6.750000,6.750000,6.750000,2.247635,1940000
2001-06-22,7.250000,7.250000,6.750000,6.750000,2.247635,2210000
2001-06-25,7.000000,7.750000,6.750000,7.000000,2.330882,1370000
2001-06-26,7.000000,7.000000,7.000000,7.000000,2.330882,200000
2001-06-27,7.000000,7.000000,7.000000,7.000000,2.330882,400000
2001-06-28,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-06-29,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-07-02,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-07-03,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-07-04,7.500000,7.500000,7.000000,7.000000,2.330882,810000
2001-07-05,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-07-06,7.500000,7.500000,7.500000,7.500000,2.497373,140000
2001-07-09,7.500000,7.500000,7.500000,7.500000,2.497373,0
2001-07-10,7.000000,7.000000,7.000000,7.000000,2.330882,500000
2001-07-11,7.250000,7.250000,7.250000,7.250000,2.414127,1000000
2001-07-12,7.000000,7.000000,7.000000,7.000000,2.330882,600000
2001-07-13,7.000000,7.250000,7.000000,7.000000,2.330882,13040000
2001-07-16,7.000000,7.000000,7.000000,7.000000,2.330882,100000
2001-07-17,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-07-18,7.500000,7.500000,7.000000,7.000000,2.330882,470000
2001-07-19,7.000000,7.000000,7.000000,7.000000,2.330882,0
2001-07-20,6.750000,7.250000,6.750000,7.250000,2.414127,2230000
2001-07-23,7.250000,7.250000,7.250000,7.250000,2.414127,200000
