Date,Open,High,Low,Close,Adj Close,Volume
2018-07-09,103.837044,103.837044,103.837044,103.837044,103.837044,388830
2018-07-10,139.263809,139.263809,130.712524,139.263809,139.263809,17652572
2018-07-11,171.025726,173.468948,116.663979,117.274780,117.274780,50472477
2018-07-12,117.274780,117.274780,86.123665,90.399307,90.399307,16730676
2018-07-13,90.399307,102.004631,79.404800,89.788506,89.788506,14282436
2018-07-16,91.620926,91.620926,82.458832,83.680443,83.680443,3308087
2018-07-17,86.734474,86.734474,80.015610,81.237221,81.237221,1788128
2018-07-18,84.902054,85.512863,79.404800,80.015610,80.015610,6557726
2018-07-19,74.518349,83.069633,74.518349,76.961578,76.961578,3531234
2018-07-20,72.075127,78.183189,70.242706,73.907547,73.907547,2687268
2018-07-23,69.631905,82.458832,69.631905,73.907547,73.907547,8455546
2018-07-24,69.021095,74.518349,69.021095,72.075127,72.075127,2702985
2018-07-25,70.242706,74.518349,70.242706,71.464317,71.464317,3334282
2018-07-26,67.188675,72.075127,67.188675,68.410286,68.410286,3018633
2018-07-27,69.631905,73.296738,67.799484,70.242706,70.242706,3696426
2018-07-30,66.577873,72.075127,66.577873,68.410286,68.410286,1507188
2018-07-31,65.356255,70.242706,64.134644,64.745453,64.745453,2113763
2018-08-01,65.967064,67.188675,64.134644,65.356255,65.356255,2917783
2018-08-02,66.577873,73.296738,63.523842,67.188675,67.188675,10378251
2018-08-03,65.356255,70.853516,65.356255,65.967064,65.967064,7885480
2018-08-06,65.967064,68.410286,65.967064,67.188675,67.188675,2415823
2018-08-07,69.021095,69.021095,66.577873,67.188675,67.188675,1507515
2018-08-08,68.410286,68.410286,65.967064,65.967064,65.967064,2255380
2018-08-09,68.410286,76.350769,65.356255,69.021095,69.021095,12327642
2018-08-10,72.075127,72.075127,67.799484,68.410286,68.410286,8619919
2018-08-13,67.188675,67.799484,64.134644,65.356255,65.356255,3407136
2018-08-14,62.913033,65.356255,62.302227,62.913033,62.913033,841183
2018-08-15,62.913033,67.188675,62.913033,62.913033,62.913033,2510616
2018-08-16,60.469810,63.523842,60.469810,62.913033,62.913033,1045012
2018-08-17,62.913033,62.913033,62.913033,62.913033,62.913033,0
2018-08-20,62.913033,64.134644,62.913033,63.523842,63.523842,841347
2018-08-21,65.356255,65.356255,61.080616,64.134644,64.134644,1028968
2018-08-22,64.134644,64.134644,64.134644,64.134644,64.134644,0
2018-08-23,66.577873,72.075127,62.913033,66.577873,66.577873,5009281
2018-08-24,67.188675,67.799484,64.745453,66.577873,66.577873,634080
2018-08-27,67.188675,67.188675,63.523842,64.134644,64.134644,882931
2018-08-28,63.523842,67.188675,63.523842,64.134644,64.134644,446786
2018-08-29,65.356255,70.242706,63.523842,64.134644,64.134644,8600109
2018-08-30,65.967064,70.242706,62.302227,65.967064,65.967064,5941492
2018-08-31,62.913033,65.967064,62.913033,63.523842,63.523842,1818907
2018-09-03,63.523842,67.799484,62.913033,62.913033,62.913033,572685
2018-09-04,62.302227,65.967064,61.691422,62.302227,62.302227,2276827
2018-09-05,64.745453,64.745453,46.421268,59.248196,59.248196,1267996
2018-09-06,54.972553,61.080616,48.864491,58.026585,58.026585,203828
2018-09-07,61.080616,64.134644,59.859001,61.080616,61.080616,855590
2018-09-10,59.859001,64.134644,58.637390,59.859001,59.859001,305825
2018-09-11,59.859001,59.859001,59.859001,59.859001,59.859001,0
2018-09-12,56.804974,63.523842,56.804974,59.248196,59.248196,970356
2018-09-13,56.804974,62.302227,56.804974,60.469810,60.469810,2033214
2018-09-14,58.637390,62.913033,58.637390,60.469810,60.469810,3529433
2018-09-17,58.637390,62.913033,58.637390,59.859001,59.859001,1165017
2018-09-18,57.415779,61.691422,52.529327,59.859001,59.859001,440565
2018-09-19,58.026585,61.691422,58.026585,60.469810,60.469810,731001
2018-09-20,57.415779,76.350769,57.415779,65.356255,65.356255,16126229
2018-09-21,62.302227,69.631905,62.302227,62.302227,62.302227,9865650
2018-09-24,59.859001,65.356255,59.859001,61.691422,61.691422,2581178
2018-09-25,59.248196,66.577873,59.248196,64.134644,64.134644,6291193
2018-09-26,61.080616,64.745453,59.248196,62.913033,62.913033,6241751
2018-09-27,63.523842,64.134644,61.080616,62.302227,62.302227,1184172
2018-09-28,61.691422,64.134644,60.469810,60.469810,60.469810,2077418
2018-10-01,60.469810,61.691422,59.248196,59.248196,59.248196,1524378
2018-10-02,59.859001,61.691422,58.026585,60.469810,60.469810,485096
2018-10-03,59.248196,61.080616,58.026585,59.248196,59.248196,602646
2018-10-04,59.859001,61.080616,57.415779,59.248196,59.248196,2226729
2018-10-05,57.415779,63.523842,57.415779,59.248196,59.248196,2913362
2018-10-08,55.583359,61.080616,55.583359,59.248196,59.248196,445149
2018-10-09,55.583359,59.859001,55.583359,58.026585,58.026585,216598
2018-10-10,54.361748,60.469810,54.361748,59.248196,59.248196,1149791
