Date,Open,High,Low,Close,Adj Close,Volume
2018-09-18,68.000000,68.000000,68.000000,68.000000,68.000000,25500
2018-09-19,84.800003,84.800003,84.800003,84.800003,84.800003,26500
2018-09-20,92.000000,106.000000,92.000000,106.000000,106.000000,18000
2018-09-21,132.000000,132.000000,132.000000,132.000000,132.000000,83500
2018-09-24,132.000000,165.000000,130.000000,165.000000,165.000000,275500
2018-09-25,198.000000,206.000000,198.000000,206.000000,206.000000,27404500
2018-09-26,220.000000,257.000000,220.000000,246.000000,246.000000,64370000
2018-09-27,248.000000,260.000000,233.000000,246.000000,246.000000,16425000
2018-09-28,246.000000,253.000000,243.000000,246.000000,246.000000,21826500
2018-10-01,246.000000,246.000000,220.000000,240.000000,240.000000,6195500
2018-10-02,239.000000,239.000000,207.000000,208.000000,208.000000,6522500
2018-10-03,204.000000,204.000000,156.000000,203.000000,203.000000,42872000
2018-10-04,202.000000,202.000000,173.000000,186.000000,186.000000,6833500
2018-10-05,184.000000,184.000000,156.000000,156.000000,156.000000,6852500
2018-10-08,156.000000,156.000000,120.000000,130.000000,130.000000,15122500
2018-10-09,129.000000,162.000000,101.000000,162.000000,162.000000,21402000
2018-10-10,168.000000,202.000000,168.000000,194.000000,194.000000,12242000
2018-10-11,190.000000,216.000000,179.000000,195.000000,195.000000,10281500
2018-10-12,200.000000,200.000000,181.000000,186.000000,186.000000,5029000
2018-10-15,185.000000,194.000000,161.000000,161.000000,161.000000,5486500
2018-10-16,161.000000,201.000000,161.000000,201.000000,201.000000,5359000
2018-10-17,202.000000,232.000000,202.000000,226.000000,226.000000,14919500
2018-10-18,226.000000,239.000000,203.000000,229.000000,229.000000,9825000
2018-10-19,229.000000,234.000000,216.000000,216.000000,216.000000,10014500
2018-10-22,216.000000,223.000000,206.000000,206.000000,206.000000,3503500
2018-10-23,206.000000,210.000000,196.000000,198.000000,198.000000,2034000
2018-10-24,198.000000,236.000000,189.000000,198.000000,198.000000,6740000
2018-10-25,198.000000,227.000000,196.000000,211.000000,211.000000,4948500
2018-10-26,216.000000,220.000000,211.000000,211.000000,211.000000,2153000
