Date,Open,High,Low,Close,Adj Close,Volume
2019-07-12,785.000000,785.000000,785.000000,785.000000,785.000000,11700
2019-07-15,980.000000,980.000000,795.000000,805.000000,805.000000,15931500
2019-07-16,805.000000,810.000000,780.000000,785.000000,785.000000,2014200
2019-07-17,790.000000,795.000000,780.000000,780.000000,780.000000,2230100
2019-07-18,780.000000,855.000000,780.000000,800.000000,800.000000,7828800
2019-07-19,805.000000,815.000000,795.000000,805.000000,805.000000,1776500
2019-07-22,805.000000,815.000000,790.000000,790.000000,790.000000,1556700
2019-07-23,790.000000,800.000000,790.000000,795.000000,795.000000,1004500
2019-07-24,790.000000,800.000000,790.000000,790.000000,790.000000,982400
2019-07-25,790.000000,790.000000,775.000000,780.000000,780.000000,1155800
2019-07-26,780.000000,780.000000,740.000000,740.000000,740.000000,1904100
2019-07-29,740.000000,740.000000,725.000000,735.000000,735.000000,1033400
2019-07-30,730.000000,775.000000,730.000000,770.000000,770.000000,1207900
2019-07-31,775.000000,795.000000,775.000000,790.000000,790.000000,768200
2019-08-01,790.000000,815.000000,790.000000,800.000000,800.000000,1054300
2019-08-02,800.000000,810.000000,795.000000,810.000000,810.000000,823800
2019-08-05,810.000000,815.000000,775.000000,800.000000,800.000000,19689200
2019-08-06,795.000000,800.000000,785.000000,785.000000,785.000000,331200
2019-08-07,780.000000,780.000000,770.000000,770.000000,770.000000,386200
2019-08-08,775.000000,790.000000,775.000000,790.000000,790.000000,501900
2019-08-09,795.000000,800.000000,790.000000,795.000000,795.000000,422800
2019-08-12,790.000000,805.000000,790.000000,800.000000,800.000000,248700
2019-08-13,805.000000,810.000000,795.000000,805.000000,805.000000,490900
2019-08-14,810.000000,810.000000,805.000000,810.000000,810.000000,342700
2019-08-15,810.000000,815.000000,810.000000,815.000000,815.000000,457000
2019-08-16,815.000000,825.000000,815.000000,815.000000,815.000000,432800
2019-08-19,820.000000,820.000000,790.000000,800.000000,800.000000,668500
2019-08-20,800.000000,800.000000,790.000000,795.000000,795.000000,217400
2019-08-21,790.000000,790.000000,780.000000,790.000000,790.000000,211400
2019-08-22,785.000000,785.000000,775.000000,780.000000,780.000000,177400
2019-08-23,785.000000,790.000000,780.000000,780.000000,780.000000,274200
2019-08-26,785.000000,785.000000,780.000000,785.000000,785.000000,179100
2019-08-27,785.000000,790.000000,785.000000,790.000000,790.000000,226000
2019-08-28,790.000000,795.000000,790.000000,795.000000,795.000000,162700
2019-08-29,790.000000,790.000000,780.000000,785.000000,785.000000,212700
2019-08-30,780.000000,785.000000,780.000000,785.000000,785.000000,166600
2019-09-02,790.000000,790.000000,775.000000,775.000000,775.000000,177800
2019-09-03,775.000000,780.000000,775.000000,780.000000,780.000000,158600
2019-09-04,785.000000,785.000000,770.000000,785.000000,785.000000,308100
2019-09-05,780.000000,780.000000,770.000000,770.000000,770.000000,96300
2019-09-06,765.000000,780.000000,765.000000,775.000000,775.000000,133100
2019-09-09,780.000000,800.000000,700.000000,700.000000,700.000000,306000
2019-09-10,710.000000,800.000000,710.000000,740.000000,740.000000,124400
2019-09-11,740.000000,750.000000,735.000000,740.000000,740.000000,36500
2019-09-12,740.000000,800.000000,740.000000,775.000000,775.000000,99100
2019-09-13,775.000000,800.000000,770.000000,790.000000,790.000000,72200
2019-09-16,790.000000,795.000000,755.000000,780.000000,780.000000,63600
2019-09-17,790.000000,790.000000,755.000000,785.000000,785.000000,56700
2019-09-18,790.000000,790.000000,755.000000,780.000000,780.000000,90500
2019-09-19,785.000000,800.000000,770.000000,795.000000,795.000000,29400
2019-09-20,770.000000,770.000000,755.000000,755.000000,755.000000,22300
2019-09-23,775.000000,800.000000,740.000000,795.000000,795.000000,232900
2019-09-24,800.000000,800.000000,720.000000,740.000000,740.000000,53200
2019-09-25,795.000000,795.000000,710.000000,735.000000,735.000000,49700
2019-09-26,735.000000,785.000000,730.000000,775.000000,775.000000,12900
2019-09-27,790.000000,790.000000,750.000000,775.000000,775.000000,9600
2019-09-30,775.000000,775.000000,770.000000,770.000000,770.000000,12200
2019-10-01,780.000000,800.000000,750.000000,775.000000,775.000000,1328200
2019-10-02,780.000000,780.000000,765.000000,765.000000,765.000000,1340300
2019-10-03,775.000000,775.000000,720.000000,720.000000,720.000000,1381400
2019-10-04,775.000000,775.000000,745.000000,770.000000,770.000000,1303800
2019-10-07,775.000000,775.000000,775.000000,775.000000,775.000000,119900
2019-10-08,775.000000,795.000000,765.000000,790.000000,790.000000,133900
2019-10-09,770.000000,790.000000,745.000000,745.000000,745.000000,55900
2019-10-10,745.000000,785.000000,745.000000,780.000000,780.000000,58600
2019-10-11,785.000000,790.000000,730.000000,755.000000,755.000000,57100
2019-10-14,770.000000,780.000000,750.000000,780.000000,780.000000,35300
2019-10-15,775.000000,780.000000,775.000000,780.000000,780.000000,30200
2019-10-16,780.000000,785.000000,760.000000,785.000000,785.000000,32800
2019-10-17,785.000000,785.000000,770.000000,770.000000,770.000000,32200
2019-10-18,765.000000,770.000000,760.000000,770.000000,770.000000,31500
2019-10-21,770.000000,775.000000,765.000000,765.000000,765.000000,30900
2019-10-22,765.000000,770.000000,740.000000,750.000000,750.000000,33500
2019-10-23,765.000000,770.000000,740.000000,765.000000,765.000000,31900
2019-10-24,765.000000,765.000000,735.000000,760.000000,760.000000,25900
2019-10-25,760.000000,770.000000,735.000000,760.000000,760.000000,15900
2019-10-28,760.000000,770.000000,750.000000,750.000000,750.000000,17500
2019-10-29,750.000000,760.000000,740.000000,760.000000,760.000000,11900
2019-10-30,760.000000,760.000000,750.000000,750.000000,750.000000,6400
2019-10-31,760.000000,795.000000,700.000000,795.000000,795.000000,28800
2019-11-01,790.000000,795.000000,750.000000,785.000000,785.000000,10600
2019-11-04,780.000000,780.000000,770.000000,775.000000,775.000000,5900
2019-11-05,790.000000,795.000000,750.000000,780.000000,780.000000,4600
2019-11-06,770.000000,790.000000,700.000000,760.000000,760.000000,22300
2019-11-07,770.000000,770.000000,700.000000,700.000000,700.000000,23900
2019-11-08,750.000000,750.000000,700.000000,745.000000,745.000000,13700
2019-11-11,750.000000,760.000000,700.000000,700.000000,700.000000,44400
2019-11-12,700.000000,740.000000,690.000000,720.000000,720.000000,12800
2019-11-13,700.000000,735.000000,700.000000,735.000000,735.000000,52300
2019-11-14,750.000000,750.000000,750.000000,750.000000,750.000000,2400
2019-11-15,760.000000,760.000000,760.000000,760.000000,760.000000,3000
2019-11-18,690.000000,750.000000,690.000000,745.000000,745.000000,7800
2019-11-19,750.000000,750.000000,700.000000,730.000000,730.000000,3000
2019-11-20,730.000000,735.000000,725.000000,735.000000,735.000000,1400
2019-11-21,730.000000,730.000000,720.000000,725.000000,725.000000,1700
2019-11-22,725.000000,725.000000,720.000000,720.000000,720.000000,450100
2019-11-25,730.000000,730.000000,700.000000,715.000000,715.000000,1400
2019-11-26,715.000000,715.000000,695.000000,695.000000,695.000000,3600
2019-11-27,700.000000,700.000000,680.000000,680.000000,680.000000,500
2019-11-28,710.000000,710.000000,650.000000,705.000000,705.000000,8500
2019-11-29,710.000000,710.000000,590.000000,590.000000,590.000000,2800
2019-12-02,590.000000,700.000000,590.000000,670.000000,670.000000,14400
2019-12-03,700.000000,705.000000,610.000000,705.000000,705.000000,1100
2019-12-04,700.000000,700.000000,690.000000,690.000000,690.000000,500
2019-12-05,710.000000,720.000000,590.000000,650.000000,650.000000,2200
2019-12-06,670.000000,700.000000,610.000000,650.000000,650.000000,2500
2019-12-09,700.000000,700.000000,700.000000,700.000000,700.000000,100
2019-12-10,730.000000,730.000000,730.000000,730.000000,730.000000,100
2019-12-11,750.000000,750.000000,600.000000,685.000000,685.000000,1800
2019-12-12,725.000000,725.000000,725.000000,725.000000,725.000000,300
2019-12-13,720.000000,725.000000,700.000000,700.000000,700.000000,400
2019-12-16,750.000000,750.000000,680.000000,680.000000,680.000000,800
2019-12-17,750.000000,750.000000,675.000000,710.000000,710.000000,800
2019-12-18,750.000000,750.000000,730.000000,730.000000,730.000000,1200
2019-12-19,680.000000,705.000000,680.000000,705.000000,705.000000,1100
2019-12-20,680.000000,715.000000,670.000000,715.000000,715.000000,11900
2019-12-23,750.000000,750.000000,690.000000,690.000000,690.000000,1400
2019-12-26,690.000000,690.000000,660.000000,680.000000,680.000000,1200
2019-12-27,690.000000,690.000000,690.000000,690.000000,690.000000,200
2019-12-30,730.000000,730.000000,660.000000,660.000000,660.000000,600
2020-01-02,700.000000,700.000000,670.000000,670.000000,670.000000,700
2020-01-03,710.000000,710.000000,640.000000,670.000000,670.000000,39200
2020-01-06,680.000000,680.000000,630.000000,650.000000,650.000000,20900
2020-01-07,680.000000,680.000000,680.000000,680.000000,680.000000,100
2020-01-08,700.000000,700.000000,675.000000,675.000000,675.000000,700
2020-01-09,700.000000,700.000000,595.000000,615.000000,615.000000,66600
2020-01-10,625.000000,625.000000,625.000000,625.000000,625.000000,100
2020-01-13,635.000000,635.000000,600.000000,630.000000,630.000000,5000
2020-01-14,650.000000,650.000000,595.000000,615.000000,615.000000,11600
2020-01-15,635.000000,635.000000,635.000000,635.000000,635.000000,100
2020-01-16,650.000000,650.000000,585.000000,630.000000,630.000000,23100
2020-01-17,650.000000,650.000000,630.000000,630.000000,630.000000,8100
2020-01-20,650.000000,650.000000,590.000000,590.000000,590.000000,1700
2020-01-21,630.000000,630.000000,580.000000,630.000000,630.000000,4200
2020-01-22,650.000000,650.000000,650.000000,650.000000,650.000000,100
2020-01-23,650.000000,650.000000,590.000000,635.000000,635.000000,600
2020-01-24,650.000000,650.000000,590.000000,590.000000,590.000000,6900
2020-01-27,630.000000,650.000000,590.000000,645.000000,645.000000,1400
2020-01-28,650.000000,650.000000,585.000000,585.000000,585.000000,5200
2020-01-29,625.000000,625.000000,580.000000,580.000000,580.000000,7100
2020-01-30,620.000000,620.000000,575.000000,605.000000,605.000000,28500
2020-01-31,650.000000,650.000000,580.000000,600.000000,600.000000,5400
2020-02-03,605.000000,605.000000,590.000000,605.000000,605.000000,17500
2020-02-04,605.000000,605.000000,605.000000,605.000000,605.000000,1100
2020-02-05,605.000000,605.000000,580.000000,600.000000,600.000000,4500
2020-02-06,600.000000,600.000000,590.000000,595.000000,595.000000,1600
2020-02-07,600.000000,600.000000,585.000000,595.000000,595.000000,4100
2020-02-10,600.000000,600.000000,590.000000,600.000000,600.000000,57600
2020-02-11,600.000000,600.000000,590.000000,600.000000,600.000000,28900
2020-02-12,600.000000,600.000000,590.000000,600.000000,600.000000,107000
2020-02-13,600.000000,605.000000,590.000000,605.000000,605.000000,20100
2020-02-14,595.000000,595.000000,550.000000,570.000000,570.000000,191500
2020-02-17,595.000000,595.000000,550.000000,580.000000,580.000000,38400
2020-02-18,595.000000,595.000000,550.000000,575.000000,575.000000,52300
2020-02-19,580.000000,580.000000,570.000000,570.000000,570.000000,1400
2020-02-20,570.000000,575.000000,540.000000,575.000000,575.000000,1500
2020-02-21,570.000000,585.000000,570.000000,585.000000,585.000000,300
2020-02-24,600.000000,600.000000,540.000000,565.000000,565.000000,900
2020-02-25,570.000000,570.000000,490.000000,515.000000,515.000000,20100
2020-02-26,525.000000,580.000000,525.000000,580.000000,580.000000,900
2020-02-27,580.000000,595.000000,436.000000,595.000000,595.000000,28700
2020-02-28,600.000000,600.000000,482.000000,482.000000,482.000000,5500
2020-03-02,600.000000,600.000000,472.000000,575.000000,575.000000,1000
2020-03-03,600.000000,600.000000,570.000000,570.000000,570.000000,7300
2020-03-04,600.000000,600.000000,565.000000,575.000000,575.000000,600
2020-03-05,600.000000,600.000000,472.000000,565.000000,565.000000,6000
2020-03-06,600.000000,600.000000,500.000000,565.000000,565.000000,9100
2020-03-09,600.000000,600.000000,500.000000,500.000000,500.000000,12200
2020-03-10,550.000000,550.000000,480.000000,486.000000,486.000000,7300
2020-03-11,550.000000,550.000000,470.000000,545.000000,545.000000,15400
2020-03-12,550.000000,550.000000,498.000000,498.000000,498.000000,3900
2020-03-13,535.000000,535.000000,535.000000,535.000000,535.000000,200
2020-03-16,550.000000,550.000000,550.000000,550.000000,550.000000,100
2020-03-17,550.000000,550.000000,550.000000,550.000000,550.000000,200
2020-03-18,560.000000,560.000000,560.000000,560.000000,560.000000,100
2020-03-19,560.000000,560.000000,550.000000,550.000000,550.000000,200
2020-03-20,560.000000,560.000000,560.000000,560.000000,560.000000,100
2020-03-23,570.000000,570.000000,570.000000,570.000000,570.000000,100
2020-03-24,570.000000,570.000000,570.000000,570.000000,570.000000,0
2020-03-26,570.000000,570.000000,570.000000,570.000000,570.000000,0
2020-03-27,570.000000,570.000000,570.000000,570.000000,570.000000,0
2020-03-30,575.000000,575.000000,575.000000,575.000000,575.000000,100
2020-03-31,575.000000,575.000000,575.000000,575.000000,575.000000,0
2020-04-01,575.000000,575.000000,575.000000,575.000000,575.000000,0
2020-04-02,575.000000,700.000000,575.000000,680.000000,680.000000,700
2020-04-03,680.000000,680.000000,680.000000,680.000000,680.000000,0
2020-04-06,680.000000,680.000000,675.000000,675.000000,675.000000,300
2020-04-07,650.000000,660.000000,645.000000,660.000000,660.000000,400
2020-04-08,615.000000,615.000000,615.000000,615.000000,615.000000,1700
2020-04-09,605.000000,605.000000,605.000000,605.000000,605.000000,200
