Date,Open,High,Low,Close,Adj Close,Volume
2021-05-24,159.000000,159.000000,159.000000,159.000000,159.000000,88600
2021-05-25,214.000000,214.000000,214.000000,214.000000,214.000000,3843400
2021-05-27,266.000000,266.000000,218.000000,266.000000,266.000000,139171200
2021-05-28,274.000000,326.000000,248.000000,266.000000,266.000000,117880800
2021-05-31,266.000000,266.000000,248.000000,248.000000,248.000000,50883900
2021-06-02,240.000000,240.000000,232.000000,232.000000,232.000000,49703600
2021-06-03,216.000000,216.000000,216.000000,216.000000,216.000000,52906900
2021-06-04,202.000000,202.000000,202.000000,202.000000,202.000000,39296600
2021-06-07,188.000000,188.000000,188.000000,188.000000,188.000000,24430900
2021-06-08,188.000000,220.000000,175.000000,189.000000,189.000000,198397500
2021-06-09,190.000000,204.000000,176.000000,178.000000,178.000000,59853000
2021-06-10,179.000000,184.000000,167.000000,175.000000,175.000000,36511700
2021-06-11,179.000000,183.000000,170.000000,175.000000,175.000000,12028100
2021-06-14,175.000000,185.000000,171.000000,177.000000,177.000000,49754400
2021-06-15,177.000000,180.000000,173.000000,176.000000,176.000000,4555300
2021-06-16,175.000000,176.000000,165.000000,168.000000,168.000000,5894000
2021-06-17,168.000000,218.000000,167.000000,204.000000,204.000000,68769000
2021-06-18,204.000000,204.000000,190.000000,190.000000,190.000000,21216200
2021-06-21,190.000000,198.000000,181.000000,181.000000,181.000000,4079800
2021-06-22,181.000000,194.000000,176.000000,184.000000,184.000000,4326800
2021-06-23,184.000000,184.000000,180.000000,180.000000,180.000000,1894600
2021-06-24,180.000000,193.000000,178.000000,178.000000,178.000000,1812500
2021-06-25,178.000000,183.000000,176.000000,176.000000,176.000000,972300
2021-06-28,182.000000,182.000000,166.000000,166.000000,166.000000,2355800
2021-06-29,156.000000,166.000000,155.000000,155.000000,155.000000,4028600
2021-06-30,153.000000,161.000000,145.000000,149.000000,149.000000,2791700
2021-07-01,150.000000,150.000000,140.000000,141.000000,141.000000,1833400
2021-07-02,141.000000,151.000000,141.000000,142.000000,142.000000,2559700
2021-07-05,142.000000,145.000000,141.000000,142.000000,142.000000,861900
2021-07-06,142.000000,142.000000,136.000000,139.000000,139.000000,1868400
2021-07-07,138.000000,141.000000,133.000000,138.000000,138.000000,11853700
2021-07-08,138.000000,139.000000,129.000000,136.000000,136.000000,58994200
2021-07-09,136.000000,136.000000,127.000000,127.000000,127.000000,48626800
2021-07-12,127.000000,131.000000,119.000000,120.000000,120.000000,6091600
