Date,Open,High,Low,Close,Adj Close,Volume
2023-02-07,131.000000,136.000000,94.000000,103.000000,103.000000,687309700
2023-02-08,105.000000,112.000000,97.000000,101.000000,101.000000,259509500
2023-02-09,100.000000,103.000000,96.000000,100.000000,100.000000,214969800
2023-02-10,100.000000,100.000000,93.000000,93.000000,93.000000,91599500
2023-02-13,87.000000,103.000000,87.000000,94.000000,94.000000,257447400
2023-02-14,94.000000,99.000000,92.000000,95.000000,95.000000,202454500
2023-02-15,95.000000,95.000000,89.000000,91.000000,91.000000,127643500
2023-02-16,91.000000,93.000000,85.000000,92.000000,92.000000,155218600
2023-02-17,107.000000,107.000000,90.000000,92.000000,92.000000,121793300
2023-02-20,98.000000,98.000000,90.000000,91.000000,91.000000,101980900
2023-02-21,102.000000,102.000000,90.000000,92.000000,92.000000,189866200
2023-02-22,92.000000,93.000000,91.000000,91.000000,91.000000,90239600
2023-02-23,91.000000,95.000000,90.000000,90.000000,90.000000,64768300
2023-02-24,90.000000,101.000000,87.000000,99.000000,99.000000,79969200
2023-02-27,103.000000,103.000000,95.000000,95.000000,95.000000,65327600
2023-02-28,105.000000,105.000000,89.000000,90.000000,90.000000,53797600
2023-03-01,90.000000,94.000000,87.000000,92.000000,92.000000,60349500
2023-03-02,92.000000,123.000000,90.000000,95.000000,95.000000,545119100
2023-03-03,90.000000,106.000000,89.000000,90.000000,90.000000,337583700
2023-03-06,89.000000,98.000000,87.000000,92.000000,92.000000,181445300
2023-03-07,94.000000,102.000000,88.000000,91.000000,91.000000,251454500
2023-03-08,91.000000,92.000000,88.000000,90.000000,90.000000,60607800
2023-03-09,90.000000,90.000000,88.000000,90.000000,90.000000,49086000
2023-03-10,90.000000,92.000000,87.000000,92.000000,92.000000,103403800
2023-03-13,92.000000,92.000000,89.000000,90.000000,90.000000,53625700
2023-03-14,90.000000,91.000000,89.000000,90.000000,90.000000,41581000
2023-03-15,90.000000,119.000000,89.000000,101.000000,101.000000,695648200
2023-03-16,101.000000,106.000000,97.000000,101.000000,101.000000,123652800
2023-03-17,101.000000,131.000000,100.000000,126.000000,126.000000,399994800
2023-03-20,126.000000,170.000000,118.000000,170.000000,170.000000,605558900
2023-03-21,173.000000,196.000000,159.000000,159.000000,159.000000,123181300
2023-03-24,148.000000,148.000000,148.000000,148.000000,148.000000,36279400
2023-03-27,138.000000,142.000000,138.000000,138.000000,138.000000,144683300
2023-03-28,129.000000,131.000000,129.000000,129.000000,129.000000,118939000
2023-03-29,120.000000,140.000000,120.000000,129.000000,129.000000,378769600
2023-03-30,129.000000,129.000000,120.000000,120.000000,120.000000,50924600
2023-03-31,112.000000,125.000000,112.000000,119.000000,119.000000,145352500
2023-04-03,119.000000,146.000000,115.000000,140.000000,140.000000,576971300
2023-04-04,141.000000,149.000000,134.000000,140.000000,140.000000,201575400
2023-04-05,140.000000,145.000000,134.000000,139.000000,139.000000,132792700
2023-04-06,137.000000,150.000000,130.000000,130.000000,130.000000,114557400
2023-04-10,121.000000,124.000000,121.000000,121.000000,121.000000,143759600
2023-04-11,113.000000,113.000000,113.000000,113.000000,113.000000,49081500
2023-04-12,106.000000,123.000000,106.000000,114.000000,114.000000,156786600
2023-04-13,114.000000,117.000000,109.000000,114.000000,114.000000,97939700
2023-04-14,114.000000,117.000000,111.000000,111.000000,111.000000,45284300
2023-04-17,111.000000,118.000000,104.000000,110.000000,110.000000,216369900
2023-04-18,110.000000,112.000000,106.000000,106.000000,106.000000,37617200
2023-04-26,106.000000,108.000000,103.000000,107.000000,107.000000,74473700
2023-04-27,107.000000,124.000000,107.000000,120.000000,120.000000,160629700
2023-04-28,121.000000,127.000000,117.000000,117.000000,117.000000,58007700
2023-05-02,118.000000,118.000000,113.000000,113.000000,113.000000,98403400
2023-05-03,114.000000,131.000000,112.000000,122.000000,122.000000,148448300
2023-05-04,123.000000,130.000000,121.000000,123.000000,123.000000,125920100
2023-05-05,123.000000,124.000000,117.000000,121.000000,121.000000,34134200
2023-05-08,121.000000,163.000000,121.000000,163.000000,163.000000,291190300
2023-05-09,167.000000,220.000000,163.000000,220.000000,220.000000,199030300
2023-05-10,226.000000,274.000000,216.000000,268.000000,268.000000,376396700
2023-05-11,266.000000,270.000000,250.000000,250.000000,250.000000,46251000
2023-05-12,234.000000,234.000000,234.000000,234.000000,234.000000,689500
2023-05-15,218.000000,218.000000,218.000000,218.000000,218.000000,9636500
2023-05-16,204.000000,204.000000,204.000000,204.000000,204.000000,29625700
2023-05-17,190.000000,214.000000,190.000000,191.000000,191.000000,731250800
2023-05-19,189.000000,191.000000,178.000000,178.000000,178.000000,66331700
2023-05-22,166.000000,166.000000,166.000000,166.000000,166.000000,50273400
2023-05-23,155.000000,175.000000,155.000000,167.000000,167.000000,553484400
2023-05-24,167.000000,178.000000,156.000000,169.000000,169.000000,204389900
2023-05-25,169.000000,178.000000,168.000000,173.000000,173.000000,96379500
2023-05-26,173.000000,178.000000,166.000000,170.000000,170.000000,107281000
2023-05-29,170.000000,172.000000,165.000000,171.000000,171.000000,85347400
2023-05-30,171.000000,178.000000,165.000000,172.000000,172.000000,143552000
2023-05-31,172.000000,179.000000,167.000000,172.000000,172.000000,261495300
2023-06-05,172.000000,187.000000,149.000000,149.000000,149.000000,537518300
2023-06-06,140.000000,154.000000,129.000000,149.000000,149.000000,102172200
2023-06-07,149.000000,155.000000,140.000000,151.000000,151.000000,94272400
2023-06-08,152.000000,174.000000,149.000000,161.000000,161.000000,423670200
2023-06-09,161.000000,173.000000,160.000000,162.000000,162.000000,177472900
2023-06-12,162.000000,166.000000,156.000000,161.000000,161.000000,190654700
2023-06-13,160.000000,184.000000,160.000000,172.000000,172.000000,241734100
2023-06-14,172.000000,180.000000,167.000000,169.000000,169.000000,212235600
2023-06-15,170.000000,182.000000,167.000000,171.000000,171.000000,421174300
2023-06-16,171.000000,173.000000,167.000000,171.000000,171.000000,104949500
2023-06-19,172.000000,174.000000,166.000000,168.000000,168.000000,271110400
2023-06-20,168.000000,171.000000,167.000000,167.000000,167.000000,118991500
2023-06-21,168.000000,171.000000,162.000000,170.000000,170.000000,61093600
2023-06-22,170.000000,175.000000,168.000000,170.000000,170.000000,148587400
2023-06-23,170.000000,172.000000,167.000000,169.000000,169.000000,140984900
2023-06-26,168.000000,174.000000,156.000000,156.000000,156.000000,276580200
2023-06-27,156.000000,156.000000,133.000000,140.000000,140.000000,91531200
2023-07-03,140.000000,169.000000,134.000000,140.000000,140.000000,352181900
2023-07-04,140.000000,144.000000,137.000000,140.000000,140.000000,222614800
2023-07-05,140.000000,143.000000,138.000000,138.000000,138.000000,132812100
2023-07-06,138.000000,154.000000,137.000000,141.000000,141.000000,302545600
2023-07-07,142.000000,146.000000,138.000000,138.000000,138.000000,206941000
2023-07-10,138.000000,142.000000,135.000000,135.000000,135.000000,308977000
2023-07-11,135.000000,137.000000,132.000000,133.000000,133.000000,119115900
2023-07-12,134.000000,142.000000,121.000000,121.000000,121.000000,518025600
2023-07-13,121.000000,125.000000,116.000000,121.000000,121.000000,186868400
2023-07-14,121.000000,124.000000,118.000000,122.000000,122.000000,173291000
2023-07-17,122.000000,124.000000,117.000000,121.000000,121.000000,299456200
2023-07-18,121.000000,122.000000,118.000000,119.000000,119.000000,103279900
2023-07-20,118.000000,120.000000,111.000000,113.000000,113.000000,367523900
