Date,Open,High,Low,Close,Adj Close,Volume
2004-03-18,3550.000000,3575.000000,3500.000000,3500.000000,2219.338379,7410000
2004-03-19,3525.000000,3850.000000,3525.000000,3800.000000,2409.567139,29770000
2004-03-22,3800.000000,3800.000000,3800.000000,3800.000000,2409.567139,0
2004-03-23,3750.000000,3875.000000,3650.000000,3825.000000,2425.419678,15455000
2004-03-24,3850.000000,3850.000000,3750.000000,3750.000000,2377.862793,6001500
2004-03-25,3750.000000,3775.000000,3700.000000,3725.000000,2362.010254,6963500
2004-03-26,3750.000000,3750.000000,3650.000000,3675.000000,2330.304932,2762500
2004-03-29,3675.000000,3700.000000,3675.000000,3675.000000,2330.304932,443000
2004-03-30,3700.000000,3775.000000,3700.000000,3775.000000,2393.714600,3237500
2004-03-31,3800.000000,3875.000000,3800.000000,3850.000000,2441.272217,12688500
2004-04-01,3850.000000,3850.000000,3800.000000,3825.000000,2425.419678,6491500
2004-04-02,3825.000000,3850.000000,3750.000000,3750.000000,2377.862793,11767000
2004-04-05,3750.000000,3750.000000,3750.000000,3750.000000,2377.862793,0
2004-04-06,3800.000000,3925.000000,3800.000000,3925.000000,2488.829834,18635000
2004-04-07,3925.000000,4250.000000,3925.000000,4250.000000,2694.911133,29735000
2004-04-08,4200.000000,4350.000000,4150.000000,4300.000000,2726.614990,20691500
2004-04-09,4300.000000,4300.000000,4300.000000,4300.000000,2726.614990,0
2004-04-12,4250.000000,4275.000000,4150.000000,4200.000000,2663.205811,6700000
2004-04-13,4225.000000,4250.000000,4125.000000,4150.000000,2631.500977,11691000
2004-04-14,4150.000000,4150.000000,4050.000000,4100.000000,2599.796387,10660500
2004-04-15,4100.000000,4125.000000,4050.000000,4075.000000,2583.943848,4996000
2004-04-16,4100.000000,4125.000000,4075.000000,4125.000000,2615.648438,3206500
2004-04-19,4125.000000,4275.000000,4125.000000,4250.000000,2694.911133,18293000
2004-04-20,4250.000000,4325.000000,4225.000000,4275.000000,2710.762939,21438000
2004-04-21,4275.000000,4650.000000,4250.000000,4525.000000,2869.287109,35589500
2004-04-22,4525.000000,4525.000000,4375.000000,4425.000000,2805.877686,9098000
2004-04-23,4425.000000,4450.000000,4325.000000,4400.000000,2790.025146,7033500
