Date,Open,High,Low,Close,Adj Close,Volume
2022-08-09,90.000000,90.000000,90.000000,90.000000,90.000000,21058300
2022-08-10,81.000000,81.000000,81.000000,81.000000,81.000000,16372100
2022-08-11,73.000000,80.000000,73.000000,78.000000,78.000000,142126200
2022-08-12,78.000000,80.000000,76.000000,77.000000,77.000000,23421100
2022-08-15,75.000000,80.000000,71.000000,74.000000,74.000000,84913800
2022-08-16,77.000000,77.000000,73.000000,73.000000,73.000000,14202300
2022-08-18,74.000000,75.000000,73.000000,74.000000,74.000000,12359500
2022-08-19,74.000000,75.000000,72.000000,73.000000,73.000000,12765600
2022-08-22,73.000000,74.000000,69.000000,70.000000,70.000000,16181600
2022-08-23,65.000000,72.000000,65.000000,69.000000,69.000000,15560200
2022-08-24,70.000000,70.000000,65.000000,67.000000,67.000000,8276300
2022-08-25,68.000000,69.000000,66.000000,69.000000,69.000000,6447300
2022-08-26,69.000000,70.000000,67.000000,67.000000,67.000000,3923100
2022-08-29,67.000000,67.000000,64.000000,64.000000,64.000000,7050700
2022-08-30,65.000000,67.000000,60.000000,60.000000,60.000000,9187500
2022-08-31,60.000000,61.000000,55.000000,56.000000,56.000000,14295900
2022-09-01,56.000000,56.000000,52.000000,53.000000,53.000000,11005500
2022-09-02,48.000000,53.000000,48.000000,50.000000,50.000000,10935400
2022-09-05,45.000000,50.000000,45.000000,46.000000,46.000000,9705100
2022-09-06,46.000000,50.000000,44.000000,50.000000,50.000000,10031300
2022-09-07,54.000000,55.000000,51.000000,55.000000,55.000000,22099600
2022-09-08,60.000000,60.000000,55.000000,56.000000,56.000000,17346900
2022-09-09,57.000000,57.000000,51.000000,53.000000,53.000000,7565500
2022-09-12,53.000000,54.000000,50.000000,52.000000,52.000000,4185800
2022-09-13,53.000000,56.000000,52.000000,55.000000,55.000000,16786100
2022-09-14,55.000000,60.000000,54.000000,60.000000,60.000000,36104800
2022-09-15,64.000000,66.000000,61.000000,66.000000,66.000000,34277200
2022-09-16,69.000000,72.000000,60.000000,64.000000,64.000000,62756900
2022-09-19,64.000000,66.000000,59.000000,64.000000,64.000000,21659300
2022-09-20,65.000000,69.000000,62.000000,65.000000,65.000000,21527300
2022-09-21,64.000000,67.000000,61.000000,62.000000,62.000000,10081900
2022-09-22,63.000000,65.000000,60.000000,64.000000,64.000000,12755600
2022-09-23,65.000000,67.000000,62.000000,63.000000,63.000000,16536300
2022-09-26,63.000000,65.000000,61.000000,62.000000,62.000000,4419000
