Date,Open,High,Low,Close,Adj Close,Volume
2021-10-25,262.000000,262.000000,262.000000,262.000000,250.705963,76419000
2021-10-26,300.000000,300.000000,244.000000,250.000000,239.223236,458605800
2021-10-27,250.000000,256.000000,234.000000,250.000000,239.223236,97477400
2021-10-28,248.000000,254.000000,234.000000,234.000000,223.912964,14509700
2021-10-29,234.000000,238.000000,218.000000,218.000000,208.602661,16210000
2021-11-01,208.000000,224.000000,204.000000,204.000000,195.206177,27560900
2021-11-02,190.000000,216.000000,190.000000,192.000000,183.723450,74375700
2021-11-03,192.000000,199.000000,192.000000,196.000000,187.551025,36364900
2021-11-04,196.000000,212.000000,195.000000,212.000000,202.861313,64288500
2021-11-05,212.000000,256.000000,204.000000,242.000000,231.568100,141866700
2021-11-08,240.000000,254.000000,228.000000,242.000000,231.568100,35247000
2021-11-09,242.000000,252.000000,226.000000,244.000000,233.481888,46056300
2021-11-10,244.000000,244.000000,228.000000,230.000000,220.085388,40642000
2021-11-11,230.000000,230.000000,220.000000,226.000000,216.257813,4573100
2021-11-12,226.000000,232.000000,218.000000,226.000000,216.257813,24437800
2021-11-15,224.000000,226.000000,216.000000,216.000000,206.688889,3553600
2021-11-16,216.000000,238.000000,208.000000,222.000000,212.430252,32524800
2021-11-17,222.000000,222.000000,214.000000,216.000000,206.688889,2169600
2021-11-18,216.000000,232.000000,210.000000,224.000000,214.344025,13781200
2021-11-19,224.000000,232.000000,216.000000,232.000000,221.999161,10413700
2021-11-22,232.000000,238.000000,226.000000,230.000000,220.085388,12454800
2021-11-23,230.000000,238.000000,226.000000,238.000000,227.740524,9770600
2021-11-24,238.000000,248.000000,230.000000,238.000000,227.740524,8636200
2021-11-25,238.000000,240.000000,226.000000,236.000000,225.826736,16082100
2021-11-26,236.000000,238.000000,220.000000,236.000000,225.826736,55181000
2021-11-29,236.000000,236.000000,220.000000,226.000000,216.257813,285450800
2021-11-30,226.000000,242.000000,216.000000,242.000000,231.568100,53697300
2021-12-01,244.000000,248.000000,226.000000,236.000000,225.826736,23577000
2021-12-02,236.000000,238.000000,222.000000,222.000000,212.430252,467645000
2021-12-03,222.000000,230.000000,208.000000,208.000000,199.033737,1923192500
2021-12-06,208.000000,212.000000,200.000000,200.000000,191.378586,66123000
2021-12-07,200.000000,212.000000,186.000000,186.000000,177.982101,1319011400
2021-12-08,188.000000,191.000000,173.000000,173.000000,165.542480,1248198200
2021-12-09,173.000000,174.000000,161.000000,161.000000,154.059769,223749000
2021-12-10,158.000000,158.000000,150.000000,150.000000,143.533951,12831500
2021-12-13,140.000000,143.000000,140.000000,140.000000,133.965027,27433000
2021-12-14,139.000000,142.000000,131.000000,131.000000,125.352982,47131200
2021-12-15,136.000000,136.000000,122.000000,123.000000,117.697838,39385100
2021-12-16,122.000000,124.000000,116.000000,118.000000,112.913368,10618900
2021-12-17,118.000000,124.000000,113.000000,117.000000,111.956482,8739100
2021-12-20,113.000000,121.000000,113.000000,114.000000,109.085800,8020700
2021-12-21,107.000000,115.000000,107.000000,107.000000,102.387543,26537800
2021-12-22,106.000000,109.000000,102.000000,103.000000,98.559975,63868000
2021-12-23,97.000000,117.000000,96.000000,96.000000,91.861725,121455500
2021-12-24,95.000000,99.000000,90.000000,90.000000,86.120369,248641700
2021-12-27,90.000000,93.000000,84.000000,84.000000,80.379013,99564200
2021-12-28,79.000000,85.000000,79.000000,79.000000,75.594543,47494700
2021-12-29,74.000000,79.000000,74.000000,74.000000,70.810081,38168800
2021-12-30,70.000000,77.000000,69.000000,72.000000,68.896294,70310400
2022-01-03,69.000000,76.000000,69.000000,73.000000,69.853188,31170700
2022-01-04,73.000000,95.000000,73.000000,92.000000,88.034157,665343500
2022-01-05,92.000000,94.000000,86.000000,86.000000,82.292801,76514200
2022-01-06,83.000000,84.000000,80.000000,81.000000,77.508331,41587300
2022-01-07,81.000000,94.000000,81.000000,88.000000,84.206581,180166500
2022-01-10,89.000000,90.000000,82.000000,82.000000,78.465218,44551900
2022-01-11,82.000000,83.000000,77.000000,77.000000,73.680763,28006800
2022-01-12,77.000000,91.000000,77.000000,82.000000,78.465218,173656200
2022-01-13,83.000000,89.000000,80.000000,81.000000,77.508331,45479500
2022-01-14,81.000000,85.000000,81.000000,84.000000,80.379013,12050400
2022-01-17,85.000000,89.000000,81.000000,84.000000,80.379013,29299500
2022-01-18,85.000000,91.000000,84.000000,87.000000,83.249687,84907100
2022-01-19,87.000000,89.000000,85.000000,87.000000,83.249687,26607100
2022-01-20,87.000000,88.000000,85.000000,85.000000,81.335899,14901700
2022-01-21,85.000000,85.000000,80.000000,81.000000,77.508331,37195800
2022-01-24,81.000000,81.000000,77.000000,78.000000,74.637650,16974200
2022-01-25,79.000000,86.000000,77.000000,80.000000,76.551437,78220000
2022-01-26,80.000000,81.000000,77.000000,78.000000,74.637650,14690600
2022-01-27,78.000000,82.000000,77.000000,79.000000,75.594543,18166400
2022-01-28,80.000000,80.000000,77.000000,78.000000,74.637650,11616700
2022-01-31,79.000000,79.000000,76.000000,77.000000,73.680763,9479100
2022-02-02,77.000000,78.000000,74.000000,75.000000,71.766975,15208400
2022-02-03,75.000000,79.000000,74.000000,76.000000,72.723862,29568400
2022-02-04,76.000000,78.000000,76.000000,76.000000,72.723862,8431700
2022-02-07,77.000000,78.000000,75.000000,76.000000,72.723862,11305300
2022-02-08,76.000000,78.000000,76.000000,77.000000,73.680763,7568600
2022-02-09,77.000000,79.000000,76.000000,78.000000,74.637650,11229000
2022-02-10,78.000000,79.000000,77.000000,78.000000,74.637650,8079300
2022-02-11,79.000000,90.000000,78.000000,85.000000,81.335899,171704500
2022-02-14,87.000000,87.000000,80.000000,81.000000,77.508331,32850700
2022-02-15,82.000000,83.000000,78.000000,79.000000,75.594543,17334400
2022-02-16,79.000000,81.000000,78.000000,78.000000,74.637650,14678300
2022-02-17,79.000000,84.000000,79.000000,82.000000,78.465218,33926400
2022-02-18,82.000000,85.000000,81.000000,81.000000,77.508331,25661600
2022-02-21,82.000000,82.000000,80.000000,80.000000,76.551437,8461800
2022-02-22,80.000000,81.000000,78.000000,79.000000,75.594543,10098900
2022-02-23,79.000000,81.000000,77.000000,80.000000,76.551437,14363300
2022-02-24,81.000000,82.000000,75.000000,75.000000,71.766975,27306700
2022-02-25,80.000000,80.000000,74.000000,75.000000,71.766975,11386400
2022-03-01,80.000000,80.000000,73.000000,75.000000,71.766975,3719400
2022-03-02,75.000000,76.000000,73.000000,73.000000,69.853188,4432400
2022-03-04,75.000000,76.000000,72.000000,74.000000,70.810081,5510600
2022-03-07,74.000000,75.000000,69.000000,70.000000,66.982513,10059900
2022-03-08,70.000000,73.000000,68.000000,70.000000,66.982513,6864200
2022-03-09,77.000000,77.000000,70.000000,71.000000,67.939400,3407100
2022-03-10,77.000000,77.000000,70.000000,72.000000,68.896294,3381800
2022-03-11,72.000000,75.000000,70.000000,72.000000,68.896294,4530000
2022-03-14,72.000000,72.000000,72.000000,72.000000,68.896294,0
2022-03-15,73.000000,73.000000,71.000000,72.000000,68.896294,4092200
2022-03-16,72.000000,74.000000,68.000000,70.000000,66.982513,22700500
2022-03-17,70.000000,71.000000,68.000000,69.000000,66.025612,4327500
2022-03-18,69.000000,70.000000,68.000000,69.000000,66.025612,2908400
2022-03-21,70.000000,70.000000,68.000000,70.000000,66.982513,2893300
2022-03-22,70.000000,71.000000,69.000000,70.000000,66.982513,2500500
2022-03-23,70.000000,73.000000,69.000000,71.000000,67.939400,9285600
2022-03-24,72.000000,72.000000,70.000000,70.000000,66.982513,2466800
2022-03-25,70.000000,71.000000,69.000000,70.000000,66.982513,2745400
2022-03-28,70.000000,71.000000,68.000000,69.000000,66.025612,4933900
2022-03-29,69.000000,70.000000,68.000000,69.000000,66.025612,2107400
2022-03-30,69.000000,71.000000,69.000000,70.000000,66.982513,4622200
2022-03-31,70.000000,71.000000,69.000000,70.000000,66.982513,2431600
2022-04-01,70.000000,70.000000,68.000000,70.000000,66.982513,3213300
2022-04-04,70.000000,70.000000,69.000000,70.000000,66.982513,3563400
2022-04-05,70.000000,70.000000,69.000000,69.000000,66.025612,2362800
2022-04-06,69.000000,71.000000,69.000000,69.000000,66.025612,4076000
2022-04-07,70.000000,77.000000,69.000000,74.000000,70.810081,52168700
2022-04-08,74.000000,76.000000,70.000000,72.000000,68.896294,12958100
2022-04-11,73.000000,73.000000,70.000000,70.000000,66.982513,8986200
2022-04-12,71.000000,75.000000,70.000000,74.000000,70.810081,28861900
2022-04-13,74.000000,75.000000,70.000000,71.000000,67.939400,10848700
2022-04-14,71.000000,75.000000,71.000000,73.000000,69.853188,17472700
2022-04-18,73.000000,80.000000,73.000000,76.000000,72.723862,40773700
2022-04-19,76.000000,79.000000,75.000000,78.000000,74.637650,10210800
2022-04-20,78.000000,81.000000,75.000000,77.000000,73.680763,14961000
2022-04-21,77.000000,77.000000,74.000000,76.000000,72.723862,8049400
