Date,Open,High,Low,Close,Adj Close,Volume
2005-09-29,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-09-30,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-03,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-04,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-05,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-06,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-07,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-10,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-11,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-12,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-13,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-14,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-17,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-18,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-19,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-20,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-21,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-24,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-25,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-26,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-27,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-28,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-10-31,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-01,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-07,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-08,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-09,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-10,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-11,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-14,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-15,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-16,80000.000000,80000.000000,80000.000000,80000.000000,46935.531250,0
2005-11-17,269.091003,269.091003,269.091003,269.091003,157.874130,1337
2005-11-18,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-21,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-22,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-23,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-24,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-25,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-28,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-29,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-11-30,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-12-01,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-12-02,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-12-05,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-12-06,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-12-07,269.091003,269.091003,269.091003,269.091003,157.874130,0
2005-12-08,185.000061,185.000061,134.545502,185.000061,108.538483,5945
2005-12-09,185.000061,185.000061,185.000061,185.000061,108.538483,0
2005-12-12,185.000061,185.000061,185.000061,185.000061,108.538483,0
2005-12-13,269.091003,269.091003,269.091003,269.091003,157.874130,148
2005-12-14,218.636429,218.636429,218.636429,218.636429,128.272736,743
2005-12-15,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-16,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-19,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-20,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-21,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-22,218.636429,218.636429,218.636429,218.636429,128.272736,2229
2005-12-23,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-26,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-27,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-28,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-29,218.636429,218.636429,218.636429,218.636429,128.272736,0
2005-12-30,218.636429,218.636429,218.636429,218.636429,128.272736,0
2006-01-02,218.636429,218.636429,218.636429,218.636429,128.272736,0
2006-01-03,218.636429,218.636429,218.636429,218.636429,128.272736,0
2006-01-04,218.636429,218.636429,218.636429,218.636429,128.272736,0
2006-01-05,218.636429,218.636429,218.636429,218.636429,128.272736,0
2006-01-06,218.636429,218.636429,218.636429,218.636429,128.272736,0
