Date,Open,High,Low,Close,Adj Close,Volume
2017-06-22,80.460609,80.460609,80.460609,80.460609,80.460609,97053
2017-06-23,80.460609,80.460609,80.460609,80.460609,80.460609,0
2017-06-26,80.460609,80.460609,80.460609,80.460609,80.460609,0
2017-06-27,80.460609,80.460609,80.460609,80.460609,80.460609,0
2017-06-28,80.460609,80.460609,80.460609,80.460609,80.460609,0
2017-06-29,80.460609,80.460609,80.460609,80.460609,80.460609,0
2017-06-30,80.460609,80.460609,80.460609,80.460609,80.460609,0
2017-07-03,108.410080,108.410080,108.410080,108.410080,108.410080,251253
2017-07-04,135.512604,135.512604,135.512604,135.512604,135.512604,3261807
2017-07-05,169.390747,169.390747,169.390747,169.390747,169.390747,341222
2017-07-06,211.738434,211.738434,211.738434,211.738434,211.738434,307454
2017-07-07,232.912277,264.673065,230.794907,264.673065,264.673065,565792
2017-07-10,264.673065,264.673065,264.673065,264.673065,264.673065,0
2017-07-11,296.433807,330.311981,296.433807,330.311981,330.311981,123501
2017-07-12,402.303040,412.889954,402.303040,412.889954,412.889954,73439
2017-07-13,412.889954,412.889954,412.889954,412.889954,412.889954,0
2017-07-14,412.889954,412.889954,412.889954,412.889954,412.889954,0
2017-07-17,412.889954,412.889954,412.889954,412.889954,412.889954,0
2017-07-18,412.889954,412.889954,412.889954,412.889954,412.889954,0
2017-07-19,412.889954,412.889954,412.889954,412.889954,412.889954,0
2017-07-20,423.476868,514.524414,423.476868,514.524414,514.524414,1716032
2017-07-21,592.867615,641.567444,592.867615,641.567444,641.567444,1610949
2017-07-24,677.562988,800.371277,677.562988,800.371277,800.371277,658595
2017-07-25,836.366821,999.405457,821.545166,910.475281,910.475281,1599851
2017-07-26,931.649109,1096.805176,832.132080,859.658081,859.658081,1966577
2017-07-27,859.658081,859.658081,677.562988,762.258362,762.258362,2178631
2017-07-28,764.375793,846.953735,764.375793,804.606079,804.606079,1839061
2017-07-31,817.310364,872.362366,808.840820,834.249451,834.249451,1281297
2017-08-01,846.953735,893.536194,836.366821,836.366821,836.366821,603811
2017-08-02,836.366821,863.892822,804.606079,836.366821,836.366821,894499
2017-08-03,846.953735,846.953735,817.310364,834.249451,834.249451,811614
2017-08-04,838.484253,876.597168,838.484253,868.127625,868.127625,2043086
2017-08-07,868.127625,868.127625,823.662537,834.249451,834.249451,1562304
2017-08-08,804.606079,825.779907,662.741333,777.080078,777.080078,596018
2017-08-09,779.197449,794.019165,755.906250,758.023621,758.023621,172146
2017-08-10,758.023621,868.127625,741.084534,846.953735,846.953735,613256
2017-08-11,846.953735,876.597168,836.366821,842.718994,842.718994,49353
2017-08-14,842.718994,859.658081,791.901794,840.601624,840.601624,689057
2017-08-15,840.601624,855.423279,840.601624,846.953735,846.953735,426705
2017-08-16,844.836365,851.188538,842.718994,842.718994,842.718994,102248
2017-08-17,842.718994,842.718994,842.718994,842.718994,842.718994,0
2017-08-18,842.718994,851.188538,842.718994,851.188538,851.188538,261171
2017-08-21,851.188538,859.658081,851.188538,851.188538,851.188538,180647
2017-08-22,846.953735,851.188538,842.718994,844.836365,844.836365,63521
2017-08-23,842.718994,846.953735,834.249451,844.836365,844.836365,129877
2017-08-24,844.836365,844.836365,794.019165,842.718994,842.718994,56673
2017-08-25,842.718994,844.836365,834.249451,836.366821,836.366821,64938
2017-08-28,830.014709,842.718994,808.840820,830.014709,830.014709,283368
2017-08-29,830.014709,834.249451,808.840820,830.014709,830.014709,266366
2017-08-30,830.014709,836.366821,762.258362,827.897278,827.897278,131530
2017-08-31,827.897278,827.897278,677.562988,705.088989,705.088989,452681
2017-09-01,705.088989,705.088989,705.088989,705.088989,705.088989,0
2017-09-04,705.088989,783.432251,698.736877,719.910706,719.910706,747856
2017-09-05,719.910706,722.028076,645.802246,652.154419,652.154419,77926
2017-09-06,652.154419,652.154419,592.867615,628.863159,628.863159,457403
2017-09-07,628.863159,628.863159,622.510986,622.510986,622.510986,31170
2017-09-08,622.510986,664.858704,622.510986,622.510986,622.510986,448430
2017-09-11,624.628418,677.562988,614.041504,637.332703,637.332703,1705878
2017-09-12,656.389160,796.136536,656.389160,796.136536,796.136536,1586863
2017-09-13,825.779907,931.649109,825.779907,893.536194,893.536194,1761607
2017-09-14,910.475281,914.710083,804.606079,810.958252,810.958252,1562304
2017-09-15,810.958252,906.240540,808.840820,846.953735,846.953735,3196160
2017-09-18,851.188538,889.301453,834.249451,872.362366,872.362366,5628170
2017-09-19,868.127625,906.240540,868.127625,885.066650,885.066650,3971645
2017-09-20,885.066650,931.649109,846.953735,889.301453,889.301453,3101468
2017-09-21,889.301453,889.301453,889.301453,889.301453,889.301453,0
2017-09-22,889.301453,927.414368,885.066650,889.301453,889.301453,3554385
2017-09-25,889.301453,906.240540,889.301453,889.301453,889.301453,1976731
2017-09-26,889.301453,889.301453,846.953735,855.423279,855.423279,5164626
2017-09-27,855.423279,885.066650,855.423279,859.658081,859.658081,1992080
2017-09-28,859.658081,885.066650,813.075623,859.658081,859.658081,2333303
2017-09-29,859.658081,868.127625,846.953735,859.658081,859.658081,2913972
2017-10-02,859.658081,885.066650,808.840820,859.658081,859.658081,4026666
2017-10-03,859.658081,859.658081,810.958252,846.953735,846.953735,3179158
2017-10-04,846.953735,876.597168,823.662537,846.953735,846.953735,4985868
2017-10-05,846.953735,859.658081,827.897278,846.953735,846.953735,3592640
2017-10-06,846.953735,863.892822,804.606079,838.484253,838.484253,1933517
2017-10-09,838.484253,868.127625,825.779907,868.127625,868.127625,2648314
2017-10-10,868.127625,889.301453,868.127625,868.127625,868.127625,3152710
2017-10-11,868.127625,876.597168,827.897278,846.953735,846.953735,2042378
2017-10-12,846.953735,863.892822,825.779907,840.601624,840.601624,2437441
2017-10-13,838.484253,855.423279,825.779907,838.484253,838.484253,2171074
2017-10-16,838.484253,844.836365,838.484253,838.484253,838.484253,2180520
