Date,Open,High,Low,Close,Adj Close,Volume
2020-01-29,160.000000,178.000000,140.000000,178.000000,178.000000,112999000
2020-01-30,180.000000,240.000000,180.000000,240.000000,240.000000,139488300
2020-01-31,252.000000,278.000000,197.000000,208.000000,208.000000,134076400
2020-02-03,208.000000,220.000000,189.000000,198.000000,198.000000,35844800
2020-02-04,198.000000,210.000000,180.000000,196.000000,196.000000,24363900
2020-02-05,196.000000,218.000000,180.000000,212.000000,212.000000,45924700
2020-02-06,197.000000,222.000000,184.000000,189.000000,189.000000,430154800
2020-02-07,189.000000,204.000000,186.000000,191.000000,191.000000,133859000
2020-02-10,181.000000,256.000000,181.000000,256.000000,256.000000,330276100
2020-02-11,268.000000,272.000000,230.000000,262.000000,262.000000,269421500
2020-02-12,260.000000,260.000000,224.000000,228.000000,228.000000,59777600
2020-02-13,228.000000,244.000000,224.000000,226.000000,226.000000,33069000
2020-02-14,228.000000,238.000000,216.000000,226.000000,226.000000,46867900
2020-02-17,230.000000,230.000000,218.000000,224.000000,224.000000,7907300
2020-02-18,224.000000,234.000000,204.000000,204.000000,204.000000,52079500
2020-02-19,206.000000,224.000000,204.000000,206.000000,206.000000,47903000
2020-02-20,208.000000,220.000000,200.000000,206.000000,206.000000,33849100
2020-02-21,206.000000,210.000000,202.000000,206.000000,206.000000,21094800
2020-02-24,206.000000,206.000000,170.000000,180.000000,180.000000,8108600
2020-02-25,181.000000,192.000000,171.000000,181.000000,181.000000,19323500
2020-02-26,183.000000,189.000000,171.000000,180.000000,180.000000,22027200
2020-02-27,180.000000,186.000000,173.000000,173.000000,173.000000,2707300
2020-02-28,175.000000,175.000000,139.000000,143.000000,143.000000,1676800
2020-03-02,143.000000,155.000000,130.000000,142.000000,142.000000,4506100
2020-03-03,144.000000,150.000000,130.000000,145.000000,145.000000,11368700
2020-03-04,145.000000,195.000000,139.000000,146.000000,146.000000,113998700
2020-03-05,146.000000,153.000000,138.000000,145.000000,145.000000,29429200
2020-03-06,145.000000,152.000000,137.000000,141.000000,141.000000,8252900
2020-03-09,140.000000,147.000000,127.000000,139.000000,139.000000,11044900
