Date,Open,High,Low,Close,Adj Close,Volume
2021-09-08,1855.000000,2150.000000,1820.000000,2150.000000,1868.852905,2737600
2021-09-09,2680.000000,2680.000000,2000.000000,2050.000000,1781.929565,60248600
2021-09-10,2060.000000,2120.000000,1930.000000,1935.000000,1681.967529,5272200
2021-09-13,1940.000000,1950.000000,1825.000000,1845.000000,1603.736572,4803800
2021-09-14,1850.000000,2030.000000,1850.000000,1960.000000,1703.698486,3819200
2021-09-15,1965.000000,1970.000000,1865.000000,1890.000000,1642.852051,1283300
2021-09-16,1900.000000,1910.000000,1845.000000,1850.000000,1608.082642,1175500
2021-09-17,1860.000000,1885.000000,1850.000000,1860.000000,1616.774902,458600
2021-09-20,1885.000000,1910.000000,1845.000000,1855.000000,1612.428833,541200
2021-09-21,1855.000000,1855.000000,1825.000000,1850.000000,1608.082642,413500
2021-09-22,1850.000000,1870.000000,1835.000000,1840.000000,1599.390259,430300
2021-09-23,1840.000000,1865.000000,1835.000000,1845.000000,1603.736572,368200
2021-09-24,1845.000000,1845.000000,1830.000000,1835.000000,1595.044189,315700
2021-09-27,1835.000000,1835.000000,1800.000000,1805.000000,1568.967041,610000
2021-09-28,1800.000000,1800.000000,1725.000000,1735.000000,1508.120728,771900
2021-09-29,1720.000000,1730.000000,1650.000000,1725.000000,1499.428467,1235600
2021-09-30,1730.000000,1730.000000,1675.000000,1710.000000,1486.389893,382700
2021-10-01,1710.000000,1710.000000,1665.000000,1665.000000,1447.274536,372400
2021-10-04,1675.000000,1675.000000,1650.000000,1670.000000,1451.620605,554600
2021-10-05,1670.000000,1690.000000,1650.000000,1685.000000,1464.659180,208500
2021-10-06,1685.000000,1710.000000,1655.000000,1685.000000,1464.659180,218100
2021-10-07,1685.000000,1720.000000,1670.000000,1690.000000,1469.005249,82400
2021-10-08,1670.000000,1695.000000,1670.000000,1695.000000,1473.351440,82800
2021-10-11,1720.000000,1720.000000,1660.000000,1685.000000,1464.659180,126100
2021-10-12,1675.000000,1695.000000,1660.000000,1685.000000,1464.659180,188800
2021-10-13,1685.000000,1685.000000,1665.000000,1675.000000,1455.966797,148800
2021-10-14,1675.000000,1680.000000,1660.000000,1670.000000,1451.620605,211900
2021-10-15,1660.000000,1675.000000,1650.000000,1665.000000,1447.274536,272700
2021-10-18,1670.000000,1680.000000,1665.000000,1665.000000,1447.274536,114400
2021-10-19,1665.000000,1700.000000,1660.000000,1685.000000,1464.659180,64100
2021-10-21,1680.000000,1700.000000,1680.000000,1700.000000,1477.697632,207400
2021-10-22,1700.000000,1700.000000,1680.000000,1695.000000,1473.351440,129900
2021-10-25,1710.000000,1795.000000,1710.000000,1755.000000,1525.505493,700400
2021-10-26,1765.000000,1805.000000,1725.000000,1755.000000,1525.505493,269900
2021-10-27,1745.000000,1800.000000,1680.000000,1730.000000,1503.774536,226900
2021-10-28,1730.000000,1760.000000,1690.000000,1715.000000,1490.736084,182900
2021-10-29,1750.000000,1775.000000,1715.000000,1720.000000,1495.082275,169200
2021-11-01,1720.000000,1720.000000,1690.000000,1700.000000,1477.697632,67200
2021-11-02,1690.000000,1705.000000,1665.000000,1685.000000,1464.659180,142300
2021-11-03,1690.000000,1700.000000,1655.000000,1680.000000,1460.312866,53000
2021-11-04,1680.000000,1690.000000,1665.000000,1680.000000,1460.312866,78500
2021-11-05,1680.000000,1695.000000,1675.000000,1690.000000,1469.005249,33000
2021-11-08,1690.000000,1720.000000,1690.000000,1695.000000,1473.351440,167500
2021-11-09,1715.000000,1725.000000,1690.000000,1710.000000,1486.389893,41000
