Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,183.000000,183.000000,183.000000,183.000000,183.000000,110100
2019-11-11,246.000000,246.000000,246.000000,246.000000,246.000000,202000
2019-11-12,306.000000,306.000000,306.000000,306.000000,306.000000,237500
2019-11-13,382.000000,382.000000,382.000000,382.000000,382.000000,259700
2019-11-14,476.000000,476.000000,476.000000,476.000000,476.000000,126500
2019-11-15,595.000000,595.000000,595.000000,595.000000,595.000000,192800
2019-11-18,740.000000,740.000000,740.000000,740.000000,740.000000,12800
2019-11-19,925.000000,925.000000,925.000000,925.000000,925.000000,12800
2019-11-20,1150.000000,1155.000000,840.000000,1000.000000,1000.000000,6292000
2019-11-21,1000.000000,1000.000000,850.000000,905.000000,905.000000,345100
2019-11-22,905.000000,930.000000,890.000000,895.000000,895.000000,396400
2019-11-25,895.000000,895.000000,700.000000,880.000000,880.000000,418800
2019-11-26,865.000000,885.000000,805.000000,825.000000,825.000000,115200
2019-11-27,820.000000,840.000000,620.000000,800.000000,800.000000,136100
2019-11-28,775.000000,775.000000,640.000000,640.000000,640.000000,90900
2019-11-29,635.000000,650.000000,525.000000,650.000000,650.000000,196200
2019-12-02,650.000000,700.000000,645.000000,700.000000,700.000000,22000
2019-12-03,780.000000,805.000000,700.000000,770.000000,770.000000,44900
2019-12-04,770.000000,800.000000,715.000000,750.000000,750.000000,28600
2019-12-05,760.000000,935.000000,750.000000,900.000000,900.000000,104100
2019-12-06,900.000000,900.000000,830.000000,850.000000,850.000000,53700
2019-12-09,850.000000,900.000000,850.000000,895.000000,895.000000,17200
2019-12-10,895.000000,990.000000,895.000000,960.000000,960.000000,124500
2019-12-11,970.000000,1200.000000,940.000000,1200.000000,1200.000000,213900
2019-12-12,1200.000000,1200.000000,1200.000000,1200.000000,1200.000000,0
2019-12-13,1200.000000,1410.000000,1110.000000,1350.000000,1350.000000,100600
2019-12-16,1350.000000,1420.000000,1340.000000,1355.000000,1355.000000,39200
2019-12-17,1355.000000,1685.000000,1355.000000,1650.000000,1650.000000,181800
2019-12-18,1650.000000,1650.000000,1650.000000,1650.000000,1650.000000,0
2019-12-19,1650.000000,1650.000000,1650.000000,1650.000000,1650.000000,0
2019-12-20,1650.000000,1650.000000,1650.000000,1650.000000,1650.000000,0
