Date,Open,High,Low,Close,Adj Close,Volume
2023-12-07,165.000000,190.000000,160.000000,162.000000,162.000000,196563200
2023-12-08,160.000000,182.000000,160.000000,170.000000,170.000000,84473700
2023-12-11,171.000000,175.000000,162.000000,165.000000,165.000000,42388800
2023-12-12,169.000000,172.000000,159.000000,171.000000,171.000000,64075500
2023-12-13,171.000000,172.000000,159.000000,164.000000,164.000000,24851200
2023-12-14,164.000000,177.000000,160.000000,160.000000,160.000000,52250500
2023-12-15,161.000000,165.000000,159.000000,161.000000,161.000000,20473700
2023-12-18,160.000000,166.000000,156.000000,164.000000,164.000000,66574500
2023-12-19,154.000000,158.000000,151.000000,151.000000,151.000000,29296200
2023-12-20,135.000000,171.000000,135.000000,170.000000,170.000000,100486700
2023-12-21,169.000000,171.000000,162.000000,167.000000,167.000000,12392500
2023-12-22,169.000000,176.000000,163.000000,167.000000,167.000000,12361500
2023-12-27,165.000000,168.000000,160.000000,161.000000,161.000000,3156600
2023-12-28,160.000000,168.000000,160.000000,161.000000,161.000000,7290400
2023-12-29,161.000000,172.000000,161.000000,164.000000,164.000000,10904900
2024-01-02,164.000000,169.000000,163.000000,165.000000,165.000000,2600900
2024-01-03,165.000000,168.000000,164.000000,168.000000,168.000000,4659700
2024-01-04,169.000000,170.000000,166.000000,169.000000,169.000000,5209100
2024-01-05,169.000000,169.000000,164.000000,168.000000,168.000000,3777500
2024-01-08,167.000000,172.000000,165.000000,170.000000,170.000000,5692500
2024-01-09,170.000000,170.000000,165.000000,166.000000,166.000000,4162000
2024-01-10,166.000000,170.000000,165.000000,166.000000,166.000000,7871800
2024-01-11,166.000000,167.000000,164.000000,164.000000,164.000000,10998900
2024-01-12,164.000000,165.000000,159.000000,164.000000,164.000000,3610500
2024-01-15,164.000000,164.000000,164.000000,164.000000,164.000000,0
2024-01-16,163.000000,177.000000,162.000000,175.000000,175.000000,14279600
2024-01-17,176.000000,236.000000,173.000000,236.000000,236.000000,25097500
2024-01-18,250.000000,276.000000,216.000000,242.000000,242.000000,38314500
2024-01-19,242.000000,244.000000,220.000000,224.000000,224.000000,3963300
2024-01-22,222.000000,268.000000,204.000000,260.000000,260.000000,31226000
2024-01-23,262.000000,318.000000,248.000000,266.000000,266.000000,57294700
2024-01-24,246.000000,314.000000,246.000000,308.000000,308.000000,35923900
2024-01-25,288.000000,384.000000,288.000000,384.000000,384.000000,47017900
2024-01-26,386.000000,436.000000,330.000000,400.000000,400.000000,26017400
2024-01-29,406.000000,500.000000,388.000000,496.000000,496.000000,41678300
2024-01-30,500.000000,585.000000,460.000000,492.000000,492.000000,44718800
2024-01-31,500.000000,550.000000,488.000000,515.000000,515.000000,11853900
2024-02-01,515.000000,565.000000,500.000000,555.000000,555.000000,16240300
2024-02-02,565.000000,580.000000,530.000000,555.000000,555.000000,6637500
2024-02-05,555.000000,690.000000,550.000000,690.000000,690.000000,51846300
2024-02-06,690.000000,690.000000,690.000000,690.000000,690.000000,0
2024-02-07,650.000000,705.000000,520.000000,520.000000,520.000000,76226600
2024-02-12,486.000000,595.000000,438.000000,555.000000,555.000000,23540700
2024-02-13,560.000000,640.000000,555.000000,640.000000,640.000000,29158900
2024-02-15,640.000000,685.000000,605.000000,650.000000,650.000000,31150600
