Date,Open,High,Low,Close,Adj Close,Volume
2008-09-10,121.134949,203.506714,121.134949,154.083649,148.254883,201805408
2008-09-11,155.052734,207.383026,155.052734,207.383026,199.537994,158653121
2008-09-12,213.197510,247.115295,213.197510,247.115295,237.767258,66771606
2008-09-15,242.269897,256.806091,213.197510,227.733704,219.118835,55029536
2008-09-16,222.888306,242.269897,213.197510,242.269897,233.105148,56128517
2008-09-17,247.115295,290.723877,242.269897,281.033081,270.401978,97877926
2008-09-18,281.033081,285.878479,271.342285,281.033081,270.401978,75514954
2008-09-19,281.033081,344.023254,281.033081,344.023254,331.009308,147777337
2008-09-22,344.023254,353.714050,334.332458,344.023254,331.009308,59571475
2008-09-23,344.023254,348.868652,339.177856,344.023254,331.009308,30421134
2008-09-24,348.868652,348.868652,339.177856,348.868652,335.671387,22894404
2008-09-25,348.868652,348.868652,344.023254,348.868652,335.671387,12123875
2008-09-26,353.714050,353.714050,339.177856,353.714050,340.333527,21638573
2008-10-06,348.868652,363.404846,344.023254,348.868652,335.671387,12990677
2008-10-07,348.868652,348.868652,339.177856,348.868652,335.671387,8273314
2008-10-08,334.332458,344.023254,329.487061,334.332458,321.685089,35296894
2008-10-09,334.332458,334.332458,334.332458,334.332458,321.685089,0
2008-10-10,334.332458,334.332458,334.332458,334.332458,321.685089,0
2008-10-13,305.260071,305.260071,305.260071,305.260071,293.712494,53659
2008-10-14,305.260071,314.950867,276.187683,276.187683,265.739868,722850
2008-10-15,266.496887,266.496887,251.960693,251.960693,242.429352,7223
2008-10-16,227.733704,227.733704,227.733704,227.733704,219.118835,2579
2008-10-17,227.733704,227.733704,208.352112,208.352112,200.470428,5159
2008-10-20,188.970520,188.970520,188.970520,188.970520,181.822006,35084
2008-10-21,170.557999,170.557999,170.557999,170.557999,164.106033,1547
2008-10-22,163.774445,163.774445,163.774445,163.774445,157.579071,515
2008-10-23,148.269180,152.145493,148.269180,148.269180,142.660355,10835
2008-10-24,150.207336,150.207336,133.732986,140.516541,135.200989,212572
2008-10-27,126.949425,126.949425,126.949425,126.949425,122.147095,515
2008-10-28,122.104027,124.042183,121.134949,122.104027,117.484993,7223
2008-10-29,125.980347,125.980347,111.444153,111.444153,107.228371,12898
2008-10-30,100.784279,114.351387,100.784279,106.598755,102.566261,9778866
2008-10-31,115.320473,125.980347,106.598755,115.320473,110.958061,9657617
2008-11-03,119.196785,125.980347,115.320473,119.196785,114.687721,5156439
2008-11-04,115.320473,121.134949,115.320473,115.320473,110.958061,314215
2008-11-05,117.258629,125.980347,114.351387,117.258629,112.822891,577351
2008-11-06,117.258629,117.258629,105.629669,105.629669,101.633842,429273
2008-11-07,95.938881,115.320473,95.938881,114.351387,110.025627,130536
2008-11-10,106.598755,116.289551,106.598755,116.289551,111.890472,5159
2008-11-11,115.320473,118.227707,111.444153,115.320473,110.958061,17542
2008-11-12,114.351387,114.351387,111.444153,114.351387,110.025627,3095
2008-11-13,103.691513,110.475075,103.691513,110.475075,106.295952,14446
2008-11-14,105.629669,116.289551,99.815193,105.629669,101.633842,168200
2008-11-17,104.660591,106.598755,96.907959,104.660591,100.701424,26313
2008-11-18,94.969795,94.969795,94.969795,94.969795,91.377220,44372
2008-11-19,101.753357,101.753357,86.248085,91.093483,87.647537,38180
2008-11-20,91.093483,91.093483,91.093483,91.093483,87.647537,0
2008-11-21,91.093483,91.093483,91.093483,91.093483,87.647537,2
2008-11-24,91.093483,92.062561,82.371765,91.093483,87.647537,3095
2008-11-25,92.062561,96.907959,82.371765,92.062561,88.579956,12898
2008-11-26,83.340843,83.340843,83.340843,83.340843,80.188171,515
2008-11-27,92.062561,94.969795,75.588203,83.340843,80.188171,52627
2008-11-28,76.557289,81.402687,75.588203,81.402687,78.323334,5675
2008-12-01,73.650047,80.433601,73.650047,80.433601,77.390907,8255
2008-12-02,80.433601,80.433601,80.433601,80.433601,77.390907,515
2008-12-03,74.619125,82.371765,74.619125,82.371765,79.255753,1547
2008-12-04,74.619125,81.402687,74.619125,74.619125,71.796387,362715
2008-12-05,67.835571,67.835571,67.835571,67.835571,65.269440,36116
2008-12-09,76.557289,77.526367,76.557289,76.557289,73.661224,15994
2008-12-10,76.557289,76.557289,76.557289,76.557289,73.661224,2
2008-12-11,76.557289,76.557289,76.557289,76.557289,73.661224,206381
