Date,Open,High,Low,Close,Adj Close,Volume
2023-03-08,200.000000,238.000000,190.000000,236.000000,236.000000,579752300
2023-03-09,238.000000,276.000000,232.000000,272.000000,272.000000,569466200
2023-03-10,274.000000,292.000000,258.000000,286.000000,286.000000,385603400
2023-03-13,288.000000,294.000000,266.000000,266.000000,266.000000,204662400
2023-03-14,262.000000,280.000000,254.000000,270.000000,270.000000,246142900
2023-03-15,272.000000,290.000000,270.000000,288.000000,288.000000,294689900
2023-03-16,290.000000,302.000000,278.000000,288.000000,288.000000,327100600
2023-03-17,288.000000,304.000000,268.000000,268.000000,268.000000,278908400
2023-03-20,254.000000,270.000000,250.000000,268.000000,268.000000,115385000
2023-03-21,270.000000,282.000000,268.000000,276.000000,276.000000,195581000
2023-03-24,278.000000,296.000000,276.000000,296.000000,296.000000,190352100
2023-03-27,314.000000,314.000000,276.000000,276.000000,276.000000,243954400
2023-03-28,266.000000,282.000000,266.000000,280.000000,280.000000,124735600
2023-03-29,280.000000,282.000000,270.000000,270.000000,270.000000,86767800
2023-03-30,270.000000,278.000000,252.000000,260.000000,260.000000,179435800
2023-03-31,260.000000,266.000000,256.000000,264.000000,264.000000,87258000
2023-04-03,266.000000,276.000000,264.000000,274.000000,274.000000,95969100
2023-04-04,276.000000,280.000000,268.000000,280.000000,280.000000,101603400
2023-04-05,280.000000,286.000000,262.000000,272.000000,272.000000,177272800
2023-04-06,270.000000,278.000000,266.000000,276.000000,276.000000,97540600
2023-04-10,274.000000,278.000000,268.000000,276.000000,276.000000,57211200
2023-04-11,278.000000,286.000000,270.000000,280.000000,280.000000,96605500
2023-04-12,280.000000,284.000000,262.000000,266.000000,266.000000,167606600
2023-04-13,266.000000,268.000000,248.000000,254.000000,254.000000,152316400
2023-04-14,254.000000,266.000000,246.000000,256.000000,256.000000,138341100
2023-04-17,258.000000,264.000000,250.000000,256.000000,256.000000,66068800
2023-04-18,256.000000,266.000000,252.000000,264.000000,264.000000,88138400
2023-04-26,264.000000,264.000000,256.000000,262.000000,262.000000,67106100
2023-04-27,260.000000,266.000000,252.000000,264.000000,264.000000,90464100
2023-04-28,264.000000,264.000000,254.000000,256.000000,256.000000,73610000
2023-05-02,256.000000,272.000000,254.000000,260.000000,260.000000,69238200
2023-05-03,260.000000,268.000000,256.000000,266.000000,266.000000,56843200
2023-05-04,266.000000,270.000000,248.000000,252.000000,252.000000,118134800
2023-05-05,252.000000,254.000000,242.000000,248.000000,248.000000,71573700
2023-05-08,248.000000,248.000000,240.000000,248.000000,248.000000,57481600
2023-05-09,246.000000,254.000000,244.000000,254.000000,254.000000,61469200
2023-05-10,254.000000,258.000000,248.000000,258.000000,258.000000,48304600
2023-05-11,260.000000,260.000000,240.000000,246.000000,246.000000,123864300
2023-05-12,242.000000,248.000000,230.000000,236.000000,236.000000,139441800
2023-05-15,234.000000,236.000000,230.000000,234.000000,234.000000,62224100
2023-05-16,232.000000,236.000000,230.000000,234.000000,234.000000,50682200
2023-05-17,234.000000,238.000000,232.000000,238.000000,238.000000,51426300
2023-05-19,236.000000,242.000000,234.000000,242.000000,242.000000,55301300
2023-05-22,240.000000,246.000000,238.000000,244.000000,244.000000,48003600
2023-05-23,242.000000,248.000000,240.000000,246.000000,246.000000,61954500
2023-05-24,242.000000,246.000000,238.000000,244.000000,244.000000,54638600
2023-05-25,242.000000,250.000000,242.000000,250.000000,250.000000,56153000
2023-05-26,250.000000,260.000000,248.000000,254.000000,254.000000,58325100
2023-05-29,254.000000,260.000000,254.000000,258.000000,258.000000,50014700
2023-05-30,258.000000,262.000000,254.000000,256.000000,256.000000,58681800
2023-05-31,254.000000,260.000000,248.000000,254.000000,254.000000,60024700
2023-06-05,254.000000,256.000000,246.000000,248.000000,248.000000,50356800
2023-06-06,248.000000,252.000000,246.000000,250.000000,250.000000,43295300
2023-06-07,248.000000,258.000000,246.000000,258.000000,258.000000,44688000
2023-06-08,256.000000,260.000000,248.000000,254.000000,254.000000,53564600
2023-06-09,250.000000,258.000000,248.000000,256.000000,256.000000,32966800
2023-06-12,254.000000,260.000000,252.000000,258.000000,258.000000,38167800
2023-06-13,256.000000,262.000000,256.000000,256.000000,256.000000,27387100
2023-06-14,256.000000,262.000000,254.000000,254.000000,254.000000,35328800
2023-06-15,256.000000,264.000000,254.000000,262.000000,262.000000,45148300
2023-06-16,260.000000,264.000000,258.000000,264.000000,264.000000,30246500
2023-06-19,262.000000,268.000000,260.000000,268.000000,268.000000,39203800
2023-06-20,264.000000,268.000000,262.000000,264.000000,264.000000,31632100
2023-06-21,264.000000,266.000000,262.000000,264.000000,264.000000,28505100
2023-06-22,262.000000,266.000000,260.000000,264.000000,264.000000,23255200
2023-06-23,262.000000,266.000000,260.000000,262.000000,262.000000,21291600
2023-06-26,260.000000,270.000000,260.000000,266.000000,266.000000,26522000
2023-06-27,266.000000,270.000000,264.000000,268.000000,268.000000,13227500
2023-07-03,270.000000,270.000000,246.000000,246.000000,246.000000,39930400
2023-07-04,244.000000,246.000000,236.000000,240.000000,240.000000,12489200
2023-07-05,242.000000,242.000000,232.000000,236.000000,236.000000,10300500
2023-07-06,238.000000,242.000000,234.000000,238.000000,238.000000,14662400
2023-07-07,238.000000,240.000000,234.000000,234.000000,234.000000,10364500
2023-07-10,234.000000,240.000000,234.000000,238.000000,238.000000,15335500
2023-07-11,240.000000,250.000000,238.000000,248.000000,248.000000,26154300
2023-07-12,250.000000,310.000000,248.000000,310.000000,310.000000,119745800
2023-07-13,324.000000,324.000000,278.000000,296.000000,296.000000,91836300
2023-07-14,300.000000,310.000000,286.000000,292.000000,292.000000,28783700
2023-07-17,294.000000,304.000000,292.000000,302.000000,302.000000,28195100
2023-07-18,302.000000,330.000000,302.000000,304.000000,304.000000,31135900
2023-07-20,306.000000,306.000000,290.000000,294.000000,294.000000,20223100
2023-07-21,366.000000,366.000000,290.000000,298.000000,298.000000,11673800
2023-07-24,298.000000,318.000000,298.000000,318.000000,318.000000,23737300
2023-07-25,320.000000,338.000000,318.000000,338.000000,338.000000,21646600
2023-07-26,340.000000,354.000000,338.000000,344.000000,344.000000,17317400
2023-07-27,344.000000,344.000000,322.000000,322.000000,322.000000,15711500
2023-07-28,324.000000,332.000000,318.000000,320.000000,320.000000,39471700
2023-07-31,320.000000,332.000000,312.000000,330.000000,330.000000,21873200
2023-08-01,332.000000,352.000000,332.000000,352.000000,352.000000,23667100
2023-08-02,366.000000,368.000000,350.000000,360.000000,360.000000,22594300
2023-08-03,362.000000,380.000000,362.000000,372.000000,372.000000,24091700
2023-08-04,390.000000,390.000000,358.000000,368.000000,368.000000,30550500
2023-08-07,370.000000,400.000000,370.000000,392.000000,392.000000,31962100
2023-08-08,482.000000,482.000000,386.000000,392.000000,392.000000,25490600
2023-08-09,390.000000,410.000000,382.000000,410.000000,410.000000,33803400
2023-08-10,412.000000,420.000000,406.000000,412.000000,412.000000,25496000
2023-08-11,412.000000,422.000000,408.000000,418.000000,418.000000,28927300
2023-08-14,420.000000,426.000000,386.000000,386.000000,386.000000,42047400
2023-08-15,386.000000,394.000000,380.000000,380.000000,380.000000,23610300
2023-08-16,380.000000,388.000000,358.000000,380.000000,380.000000,54909800
2023-08-18,380.000000,386.000000,324.000000,328.000000,328.000000,70624400
2023-08-21,330.000000,348.000000,326.000000,348.000000,348.000000,19227700
2023-08-22,348.000000,360.000000,348.000000,360.000000,360.000000,18843000
2023-08-23,360.000000,362.000000,354.000000,356.000000,356.000000,12734200
2023-08-24,356.000000,364.000000,354.000000,358.000000,358.000000,14002700
