Date,Open,High,Low,Close,Adj Close,Volume
2019-11-08,605.000000,605.000000,376.000000,460.000000,460.000000,96073700
2019-11-11,462.000000,462.000000,430.000000,444.000000,444.000000,38929100
2019-11-12,444.000000,446.000000,432.000000,440.000000,440.000000,13213000
2019-11-13,440.000000,452.000000,434.000000,446.000000,446.000000,13110800
2019-11-14,448.000000,448.000000,436.000000,436.000000,436.000000,4447100
2019-11-15,440.000000,440.000000,424.000000,434.000000,434.000000,6545400
2019-11-18,434.000000,438.000000,420.000000,420.000000,420.000000,2705600
2019-11-19,418.000000,428.000000,400.000000,420.000000,420.000000,5400400
2019-11-20,420.000000,420.000000,402.000000,416.000000,416.000000,2551300
2019-11-21,416.000000,416.000000,400.000000,414.000000,414.000000,2592800
2019-11-22,414.000000,414.000000,312.000000,312.000000,312.000000,10413500
2019-11-25,310.000000,362.000000,310.000000,336.000000,336.000000,38978100
2019-11-26,338.000000,338.000000,252.000000,252.000000,252.000000,27748700
2019-11-27,252.000000,258.000000,189.000000,189.000000,189.000000,24306300
2019-11-28,187.000000,248.000000,140.000000,179.000000,179.000000,99993900
2019-11-29,179.000000,204.000000,132.000000,139.000000,139.000000,53031900
2019-12-02,139.000000,139.000000,139.000000,139.000000,139.000000,0
2019-12-03,160.000000,187.000000,150.000000,187.000000,187.000000,45288600
2019-12-04,202.000000,252.000000,202.000000,252.000000,252.000000,91706000
2019-12-05,266.000000,286.000000,226.000000,234.000000,234.000000,66936200
2019-12-06,234.000000,260.000000,234.000000,260.000000,260.000000,31557300
2019-12-09,262.000000,268.000000,246.000000,252.000000,252.000000,11832200
2019-12-10,250.000000,254.000000,238.000000,246.000000,246.000000,7324200
2019-12-11,246.000000,250.000000,240.000000,240.000000,240.000000,6573800
2019-12-12,240.000000,244.000000,214.000000,236.000000,236.000000,12029100
2019-12-13,236.000000,238.000000,230.000000,230.000000,230.000000,9331900
2019-12-16,230.000000,234.000000,212.000000,212.000000,212.000000,14221500
2019-12-17,212.000000,228.000000,210.000000,212.000000,212.000000,15072200
2019-12-18,212.000000,214.000000,195.000000,214.000000,214.000000,14111400
2019-12-19,204.000000,260.000000,204.000000,240.000000,240.000000,31958800
2019-12-20,242.000000,260.000000,220.000000,228.000000,228.000000,13847300
2019-12-23,230.000000,238.000000,220.000000,226.000000,226.000000,6783900
2019-12-26,226.000000,232.000000,204.000000,216.000000,216.000000,9373000
2019-12-27,218.000000,222.000000,210.000000,216.000000,216.000000,6591000
2019-12-30,218.000000,252.000000,216.000000,250.000000,250.000000,27258900
2020-01-02,250.000000,256.000000,230.000000,230.000000,230.000000,10977200
2020-01-03,230.000000,234.000000,220.000000,220.000000,220.000000,5796300
2020-01-06,220.000000,224.000000,208.000000,224.000000,224.000000,2884600
2020-01-07,214.000000,224.000000,210.000000,214.000000,214.000000,10111800
2020-01-08,214.000000,220.000000,210.000000,210.000000,210.000000,9771500
2020-01-09,200.000000,224.000000,200.000000,216.000000,216.000000,10022000
2020-01-10,218.000000,220.000000,202.000000,212.000000,212.000000,10280400
2020-01-13,212.000000,212.000000,200.000000,206.000000,206.000000,11162600
2020-01-14,206.000000,206.000000,197.000000,200.000000,200.000000,13831600
2020-01-15,200.000000,206.000000,194.000000,202.000000,202.000000,2146900
2020-01-16,199.000000,202.000000,190.000000,194.000000,194.000000,4400600
2020-01-17,194.000000,199.000000,193.000000,194.000000,194.000000,5309200
2020-01-20,195.000000,198.000000,180.000000,180.000000,180.000000,5774400
2020-01-21,181.000000,190.000000,158.000000,165.000000,165.000000,11361100
2020-01-22,165.000000,173.000000,161.000000,161.000000,161.000000,7263500
2020-01-23,167.000000,167.000000,159.000000,161.000000,161.000000,822000
2020-01-24,160.000000,165.000000,153.000000,156.000000,156.000000,892600
2020-01-27,156.000000,156.000000,125.000000,139.000000,139.000000,18425700
2020-01-28,140.000000,179.000000,137.000000,141.000000,141.000000,25441200
2020-01-29,141.000000,143.000000,134.000000,135.000000,135.000000,4242300
2020-01-30,130.000000,141.000000,130.000000,135.000000,135.000000,3858100
2020-01-31,125.000000,138.000000,125.000000,126.000000,126.000000,1740900
2020-02-03,126.000000,129.000000,115.000000,116.000000,116.000000,2995100
2020-02-04,118.000000,125.000000,116.000000,116.000000,116.000000,2493900
2020-02-05,106.000000,119.000000,106.000000,112.000000,112.000000,2800500
2020-02-06,104.000000,114.000000,100.000000,107.000000,107.000000,3200100
2020-02-07,103.000000,107.000000,100.000000,104.000000,104.000000,4377100
2020-02-10,96.000000,127.000000,96.000000,103.000000,103.000000,32239500
2020-02-11,107.000000,139.000000,107.000000,139.000000,139.000000,156992500
2020-02-12,144.000000,148.000000,111.000000,117.000000,117.000000,48317800
2020-02-13,118.000000,128.000000,111.000000,112.000000,112.000000,25881500
2020-02-14,110.000000,115.000000,99.000000,100.000000,100.000000,11713200
2020-02-17,103.000000,113.000000,100.000000,108.000000,108.000000,17531300
2020-02-18,110.000000,115.000000,98.000000,102.000000,102.000000,31986900
2020-02-19,95.000000,107.000000,95.000000,103.000000,103.000000,28320700
2020-02-20,93.000000,108.000000,93.000000,104.000000,104.000000,6124900
2020-02-21,104.000000,110.000000,101.000000,104.000000,104.000000,8453700
2020-02-24,104.000000,120.000000,100.000000,104.000000,104.000000,32367500
2020-02-25,104.000000,111.000000,100.000000,102.000000,102.000000,10961700
2020-02-26,102.000000,111.000000,100.000000,107.000000,107.000000,18598100
2020-02-27,108.000000,113.000000,96.000000,100.000000,100.000000,17617600
2020-02-28,97.000000,106.000000,94.000000,101.000000,101.000000,8860000
2020-03-02,101.000000,105.000000,95.000000,99.000000,99.000000,7219100
2020-03-03,100.000000,100.000000,93.000000,93.000000,93.000000,3948600
2020-03-04,95.000000,96.000000,91.000000,93.000000,93.000000,3477800
2020-03-05,83.000000,95.000000,83.000000,95.000000,95.000000,3231900
2020-03-06,95.000000,99.000000,93.000000,94.000000,94.000000,7410300
2020-03-09,94.000000,94.000000,82.000000,84.000000,84.000000,3486200
2020-03-10,76.000000,88.000000,76.000000,86.000000,86.000000,2704200
2020-03-11,87.000000,93.000000,78.000000,84.000000,84.000000,8736600
2020-03-12,90.000000,93.000000,76.000000,76.000000,76.000000,10450500
2020-03-13,71.000000,71.000000,71.000000,71.000000,71.000000,898100
2020-03-16,69.000000,69.000000,67.000000,67.000000,67.000000,200100
2020-03-17,63.000000,63.000000,63.000000,63.000000,63.000000,34300
2020-03-18,59.000000,59.000000,59.000000,59.000000,59.000000,145100
2020-03-19,55.000000,55.000000,55.000000,55.000000,55.000000,55100
2020-03-20,52.000000,52.000000,52.000000,52.000000,52.000000,1766200
2020-03-23,50.000000,54.000000,50.000000,50.000000,50.000000,10700000
2020-03-24,50.000000,52.000000,50.000000,50.000000,50.000000,3269600
2020-03-26,50.000000,58.000000,50.000000,50.000000,50.000000,20072000
2020-03-27,50.000000,55.000000,50.000000,55.000000,55.000000,20051700
2020-03-30,54.000000,54.000000,52.000000,52.000000,52.000000,4744100
2020-03-31,50.000000,52.000000,50.000000,50.000000,50.000000,9206900
2020-04-01,50.000000,50.000000,50.000000,50.000000,50.000000,3124000
2020-04-02,50.000000,50.000000,50.000000,50.000000,50.000000,1845500
2020-04-03,50.000000,50.000000,50.000000,50.000000,50.000000,467300
2020-04-06,50.000000,51.000000,50.000000,51.000000,51.000000,4097000
2020-04-07,51.000000,52.000000,50.000000,50.000000,50.000000,10963500
2020-04-08,50.000000,50.000000,50.000000,50.000000,50.000000,4597700
2020-04-09,50.000000,50.000000,50.000000,50.000000,50.000000,2972500
2020-04-13,50.000000,50.000000,50.000000,50.000000,50.000000,275100
2020-04-14,50.000000,50.000000,50.000000,50.000000,50.000000,969200
2020-04-15,50.000000,50.000000,50.000000,50.000000,50.000000,34900
2020-04-16,50.000000,50.000000,50.000000,50.000000,50.000000,1699500
2020-04-17,50.000000,50.000000,50.000000,50.000000,50.000000,48500
2020-04-20,50.000000,50.000000,50.000000,50.000000,50.000000,93800
2020-04-21,50.000000,50.000000,50.000000,50.000000,50.000000,11000
2020-04-22,50.000000,50.000000,50.000000,50.000000,50.000000,425700
2020-04-23,50.000000,50.000000,50.000000,50.000000,50.000000,131500
2020-04-24,50.000000,50.000000,50.000000,50.000000,50.000000,18700
2020-04-27,50.000000,50.000000,50.000000,50.000000,50.000000,11200
2020-04-28,50.000000,50.000000,50.000000,50.000000,50.000000,1156100
2020-04-29,50.000000,50.000000,50.000000,50.000000,50.000000,6400
2020-04-30,50.000000,50.000000,50.000000,50.000000,50.000000,33600
2020-05-04,50.000000,50.000000,50.000000,50.000000,50.000000,8300
2020-05-05,50.000000,50.000000,50.000000,50.000000,50.000000,12200
2020-05-06,50.000000,50.000000,50.000000,50.000000,50.000000,1298700
2020-05-08,50.000000,50.000000,50.000000,50.000000,50.000000,82000
2020-05-11,50.000000,50.000000,50.000000,50.000000,50.000000,800
2020-05-12,50.000000,50.000000,50.000000,50.000000,50.000000,501500
2020-05-13,50.000000,50.000000,50.000000,50.000000,50.000000,197100
2020-05-14,50.000000,50.000000,50.000000,50.000000,50.000000,6000
2020-05-15,50.000000,50.000000,50.000000,50.000000,50.000000,704400
2020-05-18,50.000000,50.000000,50.000000,50.000000,50.000000,600
2020-05-19,50.000000,50.000000,50.000000,50.000000,50.000000,11500
2020-05-20,50.000000,50.000000,50.000000,50.000000,50.000000,644500
2020-05-26,50.000000,50.000000,50.000000,50.000000,50.000000,34000
2020-05-27,50.000000,50.000000,50.000000,50.000000,50.000000,401600
2020-05-28,50.000000,50.000000,50.000000,50.000000,50.000000,123900
2020-05-29,50.000000,50.000000,50.000000,50.000000,50.000000,41700
2020-06-02,50.000000,50.000000,50.000000,50.000000,50.000000,621400
2020-06-03,50.000000,50.000000,50.000000,50.000000,50.000000,123900
2020-06-04,50.000000,53.000000,50.000000,50.000000,50.000000,11335100
2020-06-05,50.000000,52.000000,50.000000,50.000000,50.000000,6164800
2020-06-08,50.000000,53.000000,50.000000,50.000000,50.000000,16488400
2020-06-09,50.000000,51.000000,50.000000,50.000000,50.000000,7884500
2020-06-10,50.000000,51.000000,50.000000,50.000000,50.000000,3314800
2020-06-11,50.000000,50.000000,50.000000,50.000000,50.000000,1410900
2020-06-12,50.000000,50.000000,50.000000,50.000000,50.000000,166300
2020-06-15,50.000000,50.000000,50.000000,50.000000,50.000000,15400
2020-06-16,50.000000,50.000000,50.000000,50.000000,50.000000,222500
2020-06-17,50.000000,51.000000,50.000000,50.000000,50.000000,5250000
2020-06-18,50.000000,51.000000,50.000000,50.000000,50.000000,1505400
2020-06-19,50.000000,50.000000,50.000000,50.000000,50.000000,19200
2020-06-22,50.000000,50.000000,50.000000,50.000000,50.000000,657900
2020-06-23,50.000000,50.000000,50.000000,50.000000,50.000000,1700
2020-06-24,50.000000,51.000000,50.000000,50.000000,50.000000,1617200
2020-06-25,50.000000,51.000000,50.000000,50.000000,50.000000,572700
2020-06-26,50.000000,50.000000,50.000000,50.000000,50.000000,96400
2020-06-29,50.000000,50.000000,50.000000,50.000000,50.000000,2900
2020-06-30,50.000000,51.000000,50.000000,50.000000,50.000000,3307500
2020-07-01,50.000000,50.000000,50.000000,50.000000,50.000000,416200
2020-07-02,50.000000,52.000000,50.000000,51.000000,51.000000,7902200
2020-07-03,52.000000,52.000000,50.000000,50.000000,50.000000,3414500
2020-07-06,51.000000,52.000000,50.000000,51.000000,51.000000,3780900
2020-07-07,50.000000,52.000000,50.000000,50.000000,50.000000,11472500
2020-07-08,50.000000,52.000000,50.000000,50.000000,50.000000,3744300
2020-07-09,50.000000,51.000000,50.000000,51.000000,51.000000,2302000
2020-07-10,51.000000,51.000000,50.000000,50.000000,50.000000,7959000
2020-07-13,51.000000,51.000000,50.000000,50.000000,50.000000,3033000
2020-07-14,51.000000,67.000000,51.000000,67.000000,67.000000,54815300
2020-07-15,70.000000,77.000000,63.000000,63.000000,63.000000,44146100
2020-07-16,59.000000,84.000000,59.000000,77.000000,77.000000,103099300
2020-07-17,77.000000,103.000000,72.000000,96.000000,96.000000,353833900
2020-07-20,90.000000,115.000000,90.000000,111.000000,111.000000,219643100
2020-07-21,113.000000,116.000000,106.000000,106.000000,106.000000,94374000
2020-07-22,108.000000,109.000000,101.000000,103.000000,103.000000,21523900
2020-07-23,99.000000,105.000000,96.000000,96.000000,96.000000,33427500
2020-07-24,96.000000,97.000000,90.000000,90.000000,90.000000,13338800
2020-07-27,84.000000,97.000000,84.000000,95.000000,95.000000,38655400
2020-07-28,98.000000,98.000000,90.000000,91.000000,91.000000,15835700
2020-07-29,88.000000,91.000000,85.000000,86.000000,86.000000,13026000
2020-07-30,86.000000,87.000000,80.000000,80.000000,80.000000,12239300
2020-08-03,80.000000,82.000000,75.000000,75.000000,75.000000,4473700
2020-08-04,75.000000,75.000000,70.000000,74.000000,74.000000,22125500
2020-08-05,74.000000,74.000000,69.000000,69.000000,69.000000,8454100
2020-08-06,69.000000,81.000000,65.000000,72.000000,72.000000,43937500
2020-08-07,70.000000,95.000000,70.000000,89.000000,89.000000,117796500
2020-08-10,89.000000,91.000000,83.000000,83.000000,83.000000,27057400
2020-08-11,83.000000,86.000000,78.000000,79.000000,79.000000,16412700
2020-08-12,80.000000,82.000000,76.000000,76.000000,76.000000,8035700
2020-08-13,71.000000,79.000000,71.000000,75.000000,75.000000,8553700
2020-08-14,73.000000,87.000000,73.000000,76.000000,76.000000,55017500
